22, Private, 215546, Assoc-acdm, 12, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 55, United-States, <=50K
30, Federal-gov, 73514, Bachelors, 13, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female, 0, 0, 45, United-States, <=50K
42, Local-gov, 238188, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 35, United-States, >50K
36, Private, 89040, 11th, 7, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 47, United-States, <=50K
29, Private, 169544, Assoc-voc, 11, Never-married, Tech-support, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
41, Private, 163258, Bachelors, 13, Never-married, Tech-support, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
36, Private, 358682, Bachelors, 13, Never-married, Exec-managerial, Other-relative, White, Male, 0, 0, 50, ?, <=50K
31, Private, 99928, Masters, 14, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 50, United-States, <=50K
63, State-gov, 194682, Doctorate, 16, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1902, 50, United-States, >50K
35, Private, 141896, 12th, 8, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
26, Private, 224361, HS-grad, 9, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
58, Self-emp-not-inc, 49884, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 50, United-States, <=50K
47, Private, 218435, HS-grad, 9, Married-spouse-absent, Sales, Unmarried, White, Female, 0, 0, 20, Cuba, <=50K
37, ?, 148266, Prof-school, 15, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 6, Mexico, <=50K
47, Local-gov, 328610, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
36, Private, 355053, HS-grad, 9, Separated, Other-service, Unmarried, Black, Female, 0, 0, 28, United-States, <=50K
28, Private, 261725, 1st-4th, 2, Never-married, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 40, Mexico, <=50K
23, Private, 267471, 12th, 8, Never-married, Sales, Own-child, White, Female, 0, 0, 25, United-States, <=50K
31, Private, 121308, 11th, 7, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
42, Self-emp-not-inc, 344920, Some-college, 10, Married-civ-spouse, Farming-fishing, Wife, White, Female, 0, 0, 50, United-States, <=50K
31, Private, 102270, 7th-8th, 4, Divorced, Machine-op-inspct, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
21, Private, 188923, Some-college, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 55, United-States, <=50K
44, Local-gov, 193425, Masters, 14, Married-civ-spouse, Prof-specialty, Wife, White, Female, 4386, 0, 40, United-States, >50K
30, Private, 196396, Some-college, 10, Never-married, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
46, Self-emp-inc, 328216, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 1902, 42, ?, >50K
41, Private, 173938, Prof-school, 15, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 50, ?, >50K
43, Private, 94113, Some-college, 10, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
23, Private, 233626, Bachelors, 13, Never-married, Sales, Not-in-family, White, Male, 0, 0, 25, United-States, <=50K
39, Private, 176186, Some-college, 10, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 50, United-States, >50K
59, Private, 97168, 10th, 6, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
20, Private, 109813, 11th, 7, Never-married, Tech-support, Other-relative, White, Male, 0, 0, 40, United-States, <=50K
67, Self-emp-inc, 330144, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 48, United-States, >50K
17, Private, 191260, 11th, 7, Never-married, Other-service, Own-child, White, Male, 594, 0, 10, United-States, <=50K
18, Private, 242615, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 15, United-States, <=50K
23, Federal-gov, 163870, Some-college, 10, Never-married, Armed-Forces, Other-relative, White, Male, 0, 0, 40, United-States, <=50K
42, Private, 158555, 10th, 6, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K
23, Private, 38251, HS-grad, 9, Never-married, Other-service, Own-child, White, Female, 0, 0, 40, United-States, <=50K
63, State-gov, 99823, Some-college, 10, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 32, United-States, <=50K
53, Private, 295520, 9th, 5, Widowed, Sales, Unmarried, Black, Female, 0, 0, 25, United-States, <=50K
36, Private, 43712, 10th, 6, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
41, Self-emp-not-inc, 32533, Assoc-voc, 11, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 45, United-States, <=50K
32, Private, 148207, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
34, Private, 295855, 11th, 7, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 70, United-States, <=50K
47, Private, 192776, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, <=50K
33, Self-emp-not-inc, 127894, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, >50K
32, Private, 604506, HS-grad, 9, Married-civ-spouse, Transport-moving, Own-child, White, Male, 0, 0, 72, Mexico, <=50K
53, Private, 104879, HS-grad, 9, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, >50K
21, Private, 253612, Some-college, 10, Never-married, Prof-specialty, Own-child, White, Female, 1055, 0, 32, United-States, <=50K
52, Local-gov, 278522, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, Black, Male, 0, 0, 40, United-States, <=50K
25, Local-gov, 334267, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
33, Private, 229716, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, White, Male, 0, 0, 38, United-States, <=50K
