50, Self-emp-inc,127315, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
25, Private,233777, HS-grad,9, Never-married, Transport-moving, Other-relative, White
26, Local-gov,197530, Masters,14, Married-spouse-absent, Prof-specialty, Not-in-family, White
32, Private,340940, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
29, Private,88432, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White
57, Private,183810, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White
90, Private,51744, Masters,14, Never-married, Exec-managerial, Not-in-family, Black
35, Private,175614, Assoc-voc,11, Divorced, Prof-specialty, Unmarried, White
31, Self-emp-not-inc,235237, Some-college,10, Married-civ-spouse, Sales, Husband, Black
60, Private,227266, HS-grad,9, Divorced, Sales, Not-in-family, White
21, Private,146499, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Other-relative, White
71, Local-gov,337064, Masters,14, Widowed, Prof-specialty, Not-in-family, White
22, Private,141003, Assoc-voc,11, Never-married, Other-service, Own-child, White
50, Local-gov,117791, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White
37, Private,172846, Some-college,10, Married-civ-spouse, Sales, Husband, White
23, Private,73514, HS-grad,9, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander
74, Private,211075, HS-grad,9, Married-civ-spouse, Other-service, Husband, White
67, Private,197816, Some-college,10, Married-civ-spouse, Sales, Husband, White
59, Private,43221, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
28, Private,183780, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
45, Private,26781, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo
63, Self-emp-not-inc,271550, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White
39, Private,250157, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
33, State-gov,913447, Some-college,10, Divorced, Other-service, Unmarried, Black
32, Private,153078, Bachelors,13, Never-married, Other-service, Not-in-family, Asian-Pac-Islander
34, Private,181091, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
39, Private,231491, HS-grad,9, Never-married, Handlers-cleaners, Other-relative, White
29, State-gov,95423, Masters,14, Married-civ-spouse, Adm-clerical, Husband, White
22, Private,234663, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
53, Private,283602, Bachelors,13, Divorced, Sales, Not-in-family, White
46, Private,328669, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White
51, Private,143741, Some-college,10, Married-civ-spouse, Other-service, Wife, White
44, Private,83508, Prof-school,15, Divorced, Prof-specialty, Not-in-family, White
56, State-gov,81954, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White
27, Private,261375, Bachelors,13, Never-married, Adm-clerical, Own-child, Black
52, Private,310045, 9th,5, Married-spouse-absent, Machine-op-inspct, Not-in-family, Asian-Pac-Islander
39, Private,316211, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
45, Federal-gov,88564, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
37, Private,61299, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
33, Private,113364, HS-grad,9, Divorced, Adm-clerical, Own-child, White
35, ?,476573, HS-grad,9, Never-married, ?, Not-in-family, White
46, Private,267107, 5th-6th,3, Married-civ-spouse, Craft-repair, Wife, White
35, Private,48123, 12th,8, Married-civ-spouse, Craft-repair, Wife, White
33, Private,214635, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, Black
48, Private,115585, Bachelors,13, Married-civ-spouse, Sales, Husband, White
32, Private,194141, HS-grad,9, Divorced, Machine-op-inspct, Own-child, White
18, ?,23233, 10th,6, Never-married, ?, Own-child, White
20, Private,89991, Some-college,10, Never-married, Other-service, Own-child, White
35, Private,101709, HS-grad,9, Never-married, Transport-moving, Own-child, Asian-Pac-Islander
19, Private,237455, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White
21, Private,206492, HS-grad,9, Never-married, Sales, Own-child, White
56, Private,28729, 11th,7, Separated, Machine-op-inspct, Not-in-family, White
28, Private,153475, Bachelors,13, Never-married, Adm-clerical, Own-child, White
45, Private,275517, HS-grad,9, Divorced, Craft-repair, Unmarried, White
32, Private,128002, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, White
44, Private,175485, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White
55, Private,189664, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White
34, Private,209808, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White
33, Private,176992, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
36, Private,154669, Bachelors,13, Never-married, Exec-managerial, Own-child, White
25, Private,191271, HS-grad,9, Never-married, Adm-clerical, Own-child, White
28, Private,375482, Bachelors,13, Never-married, Sales, Not-in-family, White
39, Private,102953, Bachelors,13, Married-civ-spouse, Sales, Husband, White
53, Private,169182, 10th,6, Married-spouse-absent, Machine-op-inspct, Not-in-family, White
47, Private,184005, HS-grad,9, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo
49, Self-emp-inc,30751, Assoc-voc,11, Divorced, Exec-managerial, Not-in-family, White
22, Private,145477, HS-grad,9, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo
31, Private,91964, Some-college,10, Never-married, Adm-clerical, Other-relative, White
44, Self-emp-inc,49249, Some-college,10, Divorced, Other-service, Unmarried, White
19, Private,218956, HS-grad,9, Never-married, Prof-specialty, Own-child, White
37, Self-emp-not-inc,241306, HS-grad,9, Divorced, Craft-repair, Not-in-family, White
60, ?,251572, HS-grad,9, Widowed, ?, Not-in-family, White
23, Private,319842, Some-college,10, Never-married, Handlers-cleaners, Own-child, White
44, Private,332401, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
54, Local-gov,182388, HS-grad,9, Married-civ-spouse, Other-service, Wife, White
23, Private,205939, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
21, Private,203914, Some-college,10, Never-married, Other-service, Own-child, White
19, State-gov,156294, Some-college,10, Never-married, Prof-specialty, Own-child, White
51, Private,254211, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White
41, Private,151504, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
61, Private,85548, Some-college,10, Married-civ-spouse, Tech-support, Husband, White
19, Self-emp-not-inc,30800, 10th,6, Married-spouse-absent, Adm-clerical, Unmarried, Amer-Indian-Eskimo
22, Private,131230, Bachelors,13, Never-married, Sales, Own-child, White
22, Private,61850, HS-grad,9, Never-married, Other-service, Not-in-family, White
49, Private,227800, 7th-8th,4, Married-civ-spouse, Prof-specialty, Husband, White
