51, Self-emp-not-inc, 125417, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 42, United-States, >50K
39, Private, 144608, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, ?, >50K
74, Private, 91488, 1st-4th, 2, Married-civ-spouse, Transport-moving, Husband, Black, Male, 0, 0, 20, United-States, <=50K
17, Private, 329783, 10th, 6, Never-married, Sales, Other-relative, White, Female, 0, 0, 10, United-States, <=50K
25, Private, 267284, HS-grad, 9, Never-married, Handlers-cleaners, Other-relative, White, Male, 0, 0, 40, United-States, <=50K
33, Private, 137310, HS-grad, 9, Never-married, Machine-op-inspct, Own-child, White, Female, 0, 0, 40, ?, <=50K
28, Private, 116372, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 60, United-States, <=50K
41, Private, 112763, Prof-school, 15, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 40, United-States, >50K
20, Local-gov, 271354, HS-grad, 9, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 40, United-States, <=50K
25, Private, 50103, HS-grad, 9, Never-married, Sales, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
47, Private, 241832, 9th, 5, Married-spouse-absent, Handlers-cleaners, Unmarried, White, Male, 0, 0, 40, El-Salvador, <=50K
68, ?, 117542, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 1409, 0, 15, United-States, <=50K
40, Local-gov, 108765, Assoc-voc, 11, Never-married, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female, 0, 0, 40, United-States, <=50K
28, Private, 248911, Some-college, 10, Never-married, Exec-managerial, Own-child, White, Female, 0, 0, 40, ?, <=50K
42, Private, 147251, Some-college, 10, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 36, United-States, <=50K
54, Private, 420691, 1st-4th, 2, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, Mexico, <=50K
22, ?, 31102, Some-college, 10, Never-married, ?, Own-child, Asian-Pac-Islander, Female, 0, 0, 4, South, <=50K
53, State-gov, 143822, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 36, United-States, >50K
55, Private, 349910, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 45, United-States, >50K
43, Private, 115562, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 42, United-States, >50K
48, Private, 91251, 7th-8th, 4, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male, 0, 0, 30, China, <=50K
47, Self-emp-inc, 212120, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
68, ?, 103161, HS-grad, 9, Widowed, ?, Not-in-family, White, Male, 0, 0, 32, United-States, <=50K
24, Private, 321666, Assoc-acdm, 12, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 20, United-States, <=50K
25, Private, 192273, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
19, Private, 181546, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K
35, Private, 178322, Assoc-voc, 11, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, Germany, >50K
39, Local-gov, 153976, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
47, Self-emp-inc, 337050, Some-college, 10, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 40, United-States, <=50K
19, Private, 262515, 11th, 7, Never-married, Other-service, Other-relative, White, Male, 0, 0, 20, United-States, <=50K
34, Private, 248795, HS-grad, 9, Never-married, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 45, United-States, <=50K
54, Private, 172281, Masters, 14, Divorced, Tech-support, Not-in-family, White, Male, 0, 0, 40, United-States, >50K
17, Private, 169658, 10th, 6, Never-married, Other-service, Own-child, White, Female, 0, 0, 21, United-States, <=50K
52, ?, 248113, Preschool, 1, Married-spouse-absent, ?, Other-relative, White, Male, 0, 0, 40, Mexico, <=50K
27, Private, 215955, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 2829, 0, 40, United-States, <=50K
27, Private, 266973, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 60, United-States, <=50K
17, ?, 210547, 10th, 6, Never-married, ?, Own-child, White, Male, 0, 0, 40, United-States, <=50K
56, Self-emp-not-inc, 84774, Assoc-acdm, 12, Married-civ-spouse, Farming-fishing, Wife, White, Female, 0, 0, 40, United-States, <=50K
29, Private, 209472, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 38, United-States, <=50K
28, Self-emp-not-inc, 190391, Bachelors, 13, Never-married, Sales, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
30, Private, 31985, Some-college, 10, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
39, Self-emp-not-inc, 190023, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, United-States, <=50K
18, Private, 135924, HS-grad, 9, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 20, United-States, <=50K
28, Private, 180928, Some-college, 10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 5013, 0, 55, United-States, <=50K
64, Private, 319371, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 40, United-States, >50K
24, Private, 198259, HS-grad, 9, Never-married, Sales, Own-child, White, Female, 0, 0, 30, United-States, <=50K
18, Private, 104704, HS-grad, 9, Never-married, Adm-clerical, Own-child, Black, Male, 0, 0, 40, United-States, <=50K
48, Self-emp-not-inc, 379883, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, Mexico, >50K
47, Federal-gov, 98726, Bachelors, 13, Married-spouse-absent, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
51, Private, 313146, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K
59, Private, 66356, 7th-8th, 4, Never-married, Farming-fishing, Unmarried, White, Male, 4865, 0, 40, United-States, <=50K
55, Private, 175942, HS-grad, 9, Divorced, Priv-house-serv, Not-in-family, White, Female, 0, 0, 40, France, <=50K
28, Private, 120135, Assoc-voc, 11, Never-married, Sales, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
49, Private, 168216, 7th-8th, 4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 48, United-States, <=50K
55, Self-emp-not-inc, 477867, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
27, Private, 213842, Bachelors, 13, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 38, United-States, <=50K
25, Private, 108505, HS-grad, 9, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
35, Private, 77146, Assoc-voc, 11, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
44, Private, 476391, Some-college, 10, Divorced, Farming-fishing, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
17, Private, 217342, 10th, 6, Never-married, Sales, Own-child, White, Female, 0, 0, 5, United-States, <=50K
38, Private, 54317, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 60, United-States, <=50K
35, Federal-gov, 475324, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
69, Private, 36956, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 20051, 0, 50, United-States, >50K
58, Private, 106546, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 2174, 0, 40, United-States, <=50K
34, Private, 84119, HS-grad, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K
25, Private, 88922, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, Black, Male, 0, 0, 40, United-States, <=50K
67, ?, 53588, HS-grad, 9, Widowed, ?, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
37, Private, 189922, Assoc-acdm, 12, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 50, United-States, >50K
44, Private, 370502, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 25, Mexico, <=50K
34, Private, 118551, Bachelors, 13, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K
35, Private, 37314, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 5013, 0, 40, United-States, <=50K
64, Private, 69525, HS-grad, 9, Divorced, Craft-repair, Unmarried, White, Male, 0, 0, 20, United-States, <=50K
31, Private, 300687, HS-grad, 9, Never-married, Other-service, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
33, Private, 202046, Bachelors, 13, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 2001, 40, United-States, <=50K
61, Private, 203445, Some-college, 10, Widowed, Adm-clerical, Other-relative, White, Female, 0, 0, 40, United-States, <=50K
24, Private, 174461, Some-college, 10, Never-married, Exec-managerial, Own-child, White, Female, 0, 0, 45, United-States, <=50K
34, Private, 302770, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, United-States, <=50K
30, Self-emp-not-inc, 176185, Assoc-acdm, 12, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, Iran, <=50K
41, Local-gov, 51111, Bachelors, 13, Widowed, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
46, Private, 268358, 11th, 7, Separated, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
26, Private, 111243, HS-grad, 9, Never-married, Adm-clerical, Unmarried, White, Female, 0, 0, 35, United-States, <=50K
30, Private, 488720, Assoc-voc, 11, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, Mexico, <=50K
55, Local-gov, 168790, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 44, United-States, <=50K
53, Federal-gov, 177212, Some-college, 10, Never-married, Prof-specialty, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
47, Local-gov, 287320, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
19, Private, 197748, 11th, 7, Divorced, Sales, Unmarried, White, Female, 0, 0, 20, United-States, <=50K
38, Private, 110402, Assoc-voc, 11, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
45, Private, 187370, Masters, 14, Divorced, Exec-managerial, Unmarried, White, Male, 7430, 0, 70, United-States, >50K
27, Local-gov, 200492, Bachelors, 13, Never-married, Prof-specialty, Own-child, White, Female, 0, 0, 40, United-States, <=50K
58, Private, 238438, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 42, United-States, <=50K
49, State-gov, 203039, 11th, 7, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K
43, Private, 167599, 11th, 7, Married-civ-spouse, Handlers-cleaners, Wife, White, Female, 0, 0, 25, United-States, <=50K
45, Private, 242391, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
70, Self-emp-not-inc, 172370, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 25, United-States, <=50K
66, ?, 190324, HS-grad, 9, Married-civ-spouse, ?, Husband, Black, Male, 0, 0, 18, United-States, <=50K
78, Private, 105586, 5th-6th, 3, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male, 0, 0, 36, United-States, <=50K
