31, Private, 409622, Bachelors, 13, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male, 0, 0, 36, Mexico, <=50K
35, Private, 281982, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
58, Private, 190997, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
27, Private, 265314, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 45, United-States, >50K
38, Self-emp-not-inc, 239045, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, >50K
24, Private, 132327, Some-college, 10, Married-spouse-absent, Sales, Unmarried, Other, Female, 0, 0, 30, Ecuador, <=50K
29, Private, 183887, Bachelors, 13, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 40, United-States, <=50K
60, Self-emp-not-inc, 205246, HS-grad, 9, Never-married, Exec-managerial, Not-in-family, Black, Male, 0, 2559, 50, United-States, >50K
27, Private, 176683, HS-grad, 9, Never-married, Transport-moving, Own-child, White, Male, 0, 0, 40, United-States, <=50K
19, Private, 123718, Some-college, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 20, United-States, <=50K
46, Private, 174995, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 45, United-States, <=50K
59, Self-emp-not-inc, 41258, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, <=50K
56, Private, 174533, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 45, United-States, >50K
49, Private, 323798, Some-college, 10, Divorced, Exec-managerial, Not-in-family, White, Male, 3325, 0, 50, United-States, <=50K
43, Private, 85995, HS-grad, 9, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
43, State-gov, 206927, HS-grad, 9, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
38, Private, 205359, 11th, 7, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 32, United-States, <=50K
28, Private, 452808, 10th, 6, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
43, Private, 198203, Some-college, 10, Married-spouse-absent, Other-service, Not-in-family, Black, Female, 0, 0, 40, United-States, <=50K
28, Private, 25955, Some-college, 10, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male, 0, 0, 40, United-States, <=50K
47, Self-emp-not-inc, 159726, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
50, Private, 181139, Some-college, 10, Never-married, Farming-fishing, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
40, Private, 170214, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, >50K
64, Private, 137205, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 48, United-States, <=50K
20, ?, 230955, 12th, 8, Never-married, ?, Not-in-family, Black, Female, 0, 0, 35, United-States, <=50K
50, Private, 138358, 10th, 6, Separated, Adm-clerical, Not-in-family, Black, Female, 0, 0, 47, Jamaica, <=50K
67, Self-emp-not-inc, 40021, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 35, United-States, <=50K
22, Private, 136767, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 30, United-States, <=50K
32, Private, 263908, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
41, Private, 29591, HS-grad, 9, Divorced, Sales, Not-in-family, White, Male, 0, 0, 30, United-States, <=50K
18, Self-emp-inc, 174202, HS-grad, 9, Never-married, Transport-moving, Own-child, White, Male, 0, 0, 60, United-States, <=50K
41, Private, 126850, Prof-school, 15, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male, 0, 0, 40, Philippines, <=50K
37, Private, 112497, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
57, Private, 214619, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
17, Private, 220562, 9th, 5, Never-married, Sales, Other-relative, Other, Female, 0, 0, 32, Mexico, <=50K
37, Self-emp-not-inc, 24106, HS-grad, 9, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 30, United-States, <=50K
20, Private, 332931, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 40, United-States, <=50K
32, State-gov, 159537, Assoc-acdm, 12, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
45, Private, 116163, HS-grad, 9, Separated, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
29, Private, 183639, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 97, United-States, <=50K
32, Private, 183916, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 34, United-States, <=50K
39, Private, 147258, 10th, 6, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
18, Private, 74539, 10th, 6, Never-married, Sales, Not-in-family, White, Male, 0, 0, 20, United-States, <=50K
25, Private, 124111, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 38, United-States, <=50K
31, Private, 111567, 9th, 5, Never-married, Sales, Not-in-family, White, Male, 0, 0, 43, United-States, >50K
34, State-gov, 44464, Doctorate, 16, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 60, United-States, <=50K
47, Private, 178309, 9th, 5, Never-married, Other-service, Unmarried, White, Female, 0, 0, 50, United-States, <=50K
35, Private, 556902, HS-grad, 9, Divorced, Other-service, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
32, Local-gov, 40444, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
