22, ?, 120572, Some-college, 10, Never-married, ?, Own-child, White, Female, 0, 0, 40, United-States, <=50K
37, Self-emp-not-inc, 218249, 11th, 7, Divorced, Prof-specialty, Unmarried, Black, Female, 0, 0, 30, United-States, <=50K
21, Private, 197583, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 20, United-States, <=50K
21, Private, 199915, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 40, United-States, <=50K
49, Local-gov, 116163, Bachelors, 13, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 50, France, <=50K
24, Self-emp-not-inc, 117210, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
26, Private, 391349, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
45, Private, 83064, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, <=50K
60, Private, 162347, Prof-school, 15, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1902, 40, United-States, >50K
38, Private, 122952, HS-grad, 9, Separated, Craft-repair, Unmarried, White, Female, 0, 0, 35, United-States, <=50K
45, Private, 49298, Bachelors, 13, Never-married, Tech-support, Own-child, White, Male, 0, 0, 40, United-States, <=50K
28, Self-emp-inc, 153291, HS-grad, 9, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 35, United-States, <=50K
18, Private, 80616, 10th, 6, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 27, United-States, <=50K
37, Private, 105044, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 42, United-States, >50K
51, Private, 226735, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, Black, Male, 0, 0, 40, United-States, <=50K
19, Private, 208513, HS-grad, 9, Never-married, Craft-repair, Other-relative, White, Male, 0, 0, 40, United-States, <=50K
69, Local-gov, 32287, 10th, 6, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 25, United-States, <=50K
17, Private, 289405, 11th, 7, Never-married, Machine-op-inspct, Own-child, Other, Male, 0, 0, 12, United-States, <=50K
21, Private, 277530, HS-grad, 9, Never-married, Exec-managerial, Own-child, White, Female, 0, 0, 40, United-States, <=50K
68, ?, 123464, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 45, United-States, <=50K
