39, Federal-gov,129573, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White
21, Private,306850, HS-grad,9, Never-married, Transport-moving, Own-child, White
29, Private,135296, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
43, Self-emp-not-inc,187322, HS-grad,9, Divorced, Other-service, Unmarried, White
23, Private,55674, Bachelors,13, Never-married, Protective-serv, Not-in-family, White
26, Private,148298, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White
47, Private,34845, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
27, Private,200733, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
45, Private,191858, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
30, Private,425528, HS-grad,9, Never-married, Protective-serv, Own-child, White
35, Private,44780, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White
33, Private,125856, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
37, Private,100508, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
21, Private,148294, HS-grad,9, Never-married, Farming-fishing, Own-child, White
42, Private,39324, HS-grad,9, Married-civ-spouse, Sales, Husband, White
48, Federal-gov,147397, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White
46, Private,24728, HS-grad,9, Never-married, Craft-repair, Not-in-family, White
36, Private,177616, 5th-6th,3, Separated, Machine-op-inspct, Not-in-family, White
54, Private,163826, HS-grad,9, Never-married, Prof-specialty, Not-in-family, White
25, Private,199947, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White
26, Local-gov,386949, HS-grad,9, Divorced, Adm-clerical, Unmarried, White
36, Self-emp-inc,116133, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
56, Self-emp-not-inc,196307, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
37, Private,177181, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
26, Private,324854, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
23, Private,188505, Bachelors,13, Never-married, Other-service, Own-child, White
23, State-gov,502316, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
41, State-gov,26892, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White
55, Private,102058, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
39, Private,167728, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
67, Local-gov,233681, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Husband, White
60, Private,26756, HS-grad,9, Widowed, Sales, Not-in-family, White
54, Private,101890, HS-grad,9, Widowed, Sales, Unmarried, White
38, Private,192337, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
47, Private,340982, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander
49, State-gov,102308, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
19, Private,84747, HS-grad,9, Never-married, Sales, Own-child, White
20, Private,197752, Some-college,10, Never-married, Craft-repair, Unmarried, White
66, Private,185336, HS-grad,9, Widowed, Sales, Other-relative, White
22, ?,289984, Some-college,10, Never-married, ?, Not-in-family, Black
51, Self-emp-not-inc,125417, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
19, Private,278480, Some-college,10, Never-married, Exec-managerial, Not-in-family, White
36, Private,146412, Some-college,10, Divorced, Adm-clerical, Unmarried, White
33, Private,193042, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
41, Private,53956, Bachelors,13, Divorced, Sales, Not-in-family, White
90, Private,175491, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
78, ?,33186, 7th-8th,4, Married-civ-spouse, ?, Husband, White
36, Private,144154, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White
30, Private,194901, Prof-school,15, Divorced, Sales, Own-child, White
35, Private,335777, Some-college,10, Divorced, Exec-managerial, Not-in-family, White
46, Private,139268, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
38, Private,33887, HS-grad,9, Never-married, Machine-op-inspct, Other-relative, White
24, Private,283613, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
40, Private,141245, Bachelors,13, Married-civ-spouse, Other-service, Wife, White
49, Private,298130, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White
19, Private,186096, HS-grad,9, Never-married, Other-service, Own-child, Black
77, Private,187656, Some-college,10, Widowed, Priv-house-serv, Not-in-family, White
46, Private,102308, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White
41, Private,124639, Some-college,10, Separated, Craft-repair, Not-in-family, Black
28, Private,388112, 1st-4th,2, Never-married, Farming-fishing, Unmarried, White
21, Private,109952, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
24, Private,164529, 12th,8, Never-married, Farming-fishing, Own-child, Black
36, Private,247750, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black
23, State-gov,103588, Some-college,10, Never-married, Adm-clerical, Own-child, White
38, Federal-gov,248919, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
29, Self-emp-not-inc,178551, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
38, Private,136137, Some-college,10, Married-civ-spouse, Exec-managerial, Other-relative, White
47, Federal-gov,55377, Bachelors,13, Never-married, Adm-clerical, Unmarried, Black
39, Local-gov,177728, Masters,14, Divorced, Prof-specialty, Not-in-family, White
