29, Private,319149, 12th,8, Married-civ-spouse, Transport-moving, Husband, White
50, ?,22428, Masters,14, Never-married, ?, Not-in-family, White
25, Private,290528, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
27, Private,123984, Assoc-acdm,12, Never-married, Other-service, Not-in-family, Asian-Pac-Islander
48, Private,34186, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
51, Federal-gov,282680, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White
36, Private,183892, HS-grad,9, Divorced, Transport-moving, Not-in-family, White
42, Local-gov,195124, 11th,7, Divorced, Sales, Unmarried, White
49, State-gov,55938, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White
33, Private,209900, Some-college,10, Never-married, Tech-support, Own-child, White
40, Private,179717, Bachelors,13, Divorced, Sales, Not-in-family, White
26, Private,150361, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
69, ?,164102, HS-grad,9, Divorced, ?, Not-in-family, White
59, Private,252714, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
30, Private,205204, HS-grad,9, Never-married, Adm-clerical, Own-child, White
31, Local-gov,168906, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Wife, White
30, Private,112115, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
27, Private,116531, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
20, ?,202994, Some-college,10, Never-married, ?, Own-child, White
56, Private,191917, Assoc-acdm,12, Divorced, Adm-clerical, Unmarried, White
24, Private,341294, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
47, Private,216734, Bachelors,13, Divorced, Sales, Unmarried, White
51, Private,182187, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Black
34, Private,424988, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
47, Private,379118, HS-grad,9, Divorced, Other-service, Unmarried, Black
47, Private,168232, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White
20, Private,147171, Some-college,10, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander
34, Self-emp-inc,207668, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
31, Private,193650, 11th,7, Divorced, Other-service, Not-in-family, White
42, Private,200187, Assoc-voc,11, Divorced, Other-service, Unmarried, White
52, Private,188644, 5th-6th,3, Married-spouse-absent, Craft-repair, Other-relative, White
56, Private,398067, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White
53, Private,29658, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
26, Private,154966, Some-college,10, Married-civ-spouse, Sales, Husband, White
81, Private,364099, Some-college,10, Divorced, Adm-clerical, Not-in-family, White
28, ?,291374, 10th,6, Never-married, ?, Unmarried, Black
57, Federal-gov,97837, Some-college,10, Divorced, Prof-specialty, Not-in-family, White
34, Private,117983, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
31, ?,345497, 10th,6, Married-civ-spouse, ?, Husband, White
24, Private,64167, Assoc-voc,11, Never-married, Tech-support, Unmarried, Black
20, Private,315877, HS-grad,9, Never-married, Other-service, Unmarried, White
68, Federal-gov,232151, Some-college,10, Divorced, Adm-clerical, Other-relative, Black
60, Private,225526, HS-grad,9, Separated, Sales, Not-in-family, White
37, Federal-gov,289653, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
25, Private,179462, 7th-8th,4, Never-married, Handlers-cleaners, Unmarried, White
36, Federal-gov,67317, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White
45, Private,77764, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White
34, Private,253438, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
