53, Private,104501, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
18, ?,437851, Some-college,10, Never-married, ?, Own-child, White
22, ?,131230, Some-college,10, Never-married, ?, Own-child, White
23, Private,495888, HS-grad,9, Never-married, Other-service, Not-in-family, White
69, Private,185691, 11th,7, Married-civ-spouse, Adm-clerical, Husband, White
56, Private,201822, 7th-8th,4, Married-civ-spouse, Handlers-cleaners, Husband, White
53, Local-gov,549341, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black
28, Private,247445, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
28, Private,199566, Bachelors,13, Married-civ-spouse, Other-service, Husband, Black
33, Self-emp-inc,139057, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander
48, Private,185039, HS-grad,9, Divorced, Sales, Unmarried, White
61, Private,166124, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
49, Private,82649, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
48, Private,109275, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
32, Private,408328, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White
51, Private,186338, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
27, ?,130856, Bachelors,13, Never-married, ?, Not-in-family, White
19, Private,251579, Some-college,10, Never-married, Other-service, Own-child, White
47, Private,76612, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White
25, Private,22546, Bachelors,13, Never-married, Transport-moving, Own-child, White
72, Private,53684, Some-college,10, Married-civ-spouse, Protective-serv, Husband, Black
29, Private,183627, 11th,7, Divorced, Craft-repair, Not-in-family, White
22, Private,73203, HS-grad,9, Never-married, Adm-clerical, Own-child, White
57, Private,108426, HS-grad,9, Married-civ-spouse, Other-service, Husband, Black
50, Private,116287, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White
45, Self-emp-inc,145697, Some-college,10, Married-civ-spouse, Sales, Husband, White
52, Private,326156, Some-college,10, Divorced, Prof-specialty, Not-in-family, White
53, Private,201127, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
36, Private,250791, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White
46, Private,328216, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
20, Private,400443, HS-grad,9, Never-married, Sales, Own-child, White
75, Private,95985, 5th-6th,3, Widowed, Other-service, Unmarried, Black
32, Local-gov,127651, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
28, Private,250679, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
53, Private,103950, Masters,14, Divorced, Prof-specialty, Not-in-family, White
17, Private,200199, 11th,7, Never-married, Sales, Own-child, White
46, State-gov,295791, Assoc-voc,11, Divorced, Adm-clerical, Unmarried, White
39, Private,191841, Assoc-acdm,12, Separated, Prof-specialty, Not-in-family, White
38, Private,82622, Some-college,10, Divorced, Craft-repair, Unmarried, White
36, Private,160728, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
63, Local-gov,109849, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Black
28, Private,339897, 1st-4th,2, Married-civ-spouse, Machine-op-inspct, Husband, White
28, ?,37215, Bachelors,13, Never-married, ?, Own-child, White
49, Private,371299, HS-grad,9, Never-married, Adm-clerical, Unmarried, White
43, Private,421837, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White
38, Private,29702, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
39, Private,117381, HS-grad,9, Never-married, Tech-support, Not-in-family, White
42, ?,240027, HS-grad,9, Divorced, ?, Not-in-family, Black
40, Private,338740, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
45, ?,28359, HS-grad,9, Separated, ?, Unmarried, White
29, ?,315026, HS-grad,9, Divorced, ?, Unmarried, White
24, Federal-gov,314525, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
30, Private,173005, Some-college,10, Married-civ-spouse, Tech-support, Husband, White
44, Private,286750, Some-college,10, Married-civ-spouse, Transport-moving, Husband, Black
40, Private,163985, HS-grad,9, Married-civ-spouse, Sales, Husband, White
30, Private,219318, HS-grad,9, Never-married, Machine-op-inspct, Other-relative, White
42, Private,44121, Masters,14, Divorced, Prof-specialty, Not-in-family, White
52, Self-emp-not-inc,103794, Assoc-voc,11, Divorced, Prof-specialty, Not-in-family, White
42, Private,310632, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Black
39, Private,153976, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
