46, Private, 118419, HS-grad, 9, Divorced, Machine-op-inspct, Unmarried, White, Male, 0, 0, 38, United-States, <=50K
51, Private, 194259, Bachelors, 13, Divorced, Tech-support, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
30, Private, 271710, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 7298, 0, 50, United-States, >50K
32, Private, 143604, HS-grad, 9, Divorced, Other-service, Not-in-family, Black, Female, 0, 0, 16, United-States, <=50K
20, Private, 396722, Some-college, 10, Never-married, Sales, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
41, Private, 247752, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K
39, Private, 76767, Some-college, 10, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 60, United-States, <=50K
50, Private, 187830, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 50, United-States, >50K
34, Private, 243165, Bachelors, 13, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 30, United-States, >50K
42, Private, 192712, HS-grad, 9, Separated, Other-service, Unmarried, White, Female, 0, 0, 25, United-States, <=50K
68, Private, 124686, 7th-8th, 4, Widowed, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 10, United-States, <=50K
20, Private, 224640, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K
26, Local-gov, 192213, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, Canada, <=50K
38, Private, 242720, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 35, United-States, >50K
30, Private, 75167, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, >50K
25, Private, 361307, Bachelors, 13, Never-married, Sales, Own-child, White, Female, 0, 0, 40, United-States, <=50K
47, Private, 196707, Prof-school, 15, Divorced, Adm-clerical, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
31, Private, 300687, HS-grad, 9, Never-married, Other-service, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
18, Private, 27780, HS-grad, 9, Never-married, Sales, Own-child, White, Female, 0, 0, 25, United-States, <=50K
41, Private, 439919, 5th-6th, 3, Married-civ-spouse, Farming-fishing, Husband, White, Male, 3411, 0, 40, Mexico, <=50K
25, Private, 82560, Assoc-acdm, 12, Never-married, Other-service, Own-child, White, Male, 0, 0, 43, United-States, <=50K
46, Private, 149388, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
