43, Private,295510, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
29, Private,29732, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White
32, Private,211743, Bachelors,13, Never-married, Sales, Not-in-family, White
37, Private,251396, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Husband, White
64, Private,477697, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
49, Private,151584, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
44, Private,193882, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
68, ?,117542, HS-grad,9, Married-civ-spouse, ?, Husband, White
34, Private,242460, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
35, Private,411395, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
53, Private,191025, Some-college,10, Divorced, Adm-clerical, Not-in-family, White
24, Private,154571, Assoc-voc,11, Never-married, Sales, Unmarried, Asian-Pac-Islander
31, Private,208657, Some-college,10, Divorced, Adm-clerical, Unmarried, White
25, Private,29599, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White
36, Private,423711, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
29, Private,122000, Some-college,10, Never-married, Sales, Not-in-family, White
37, Private,148581, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
42, Self-emp-not-inc,222978, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White
30, Private,149118, HS-grad,9, Divorced, Craft-repair, Not-in-family, White
32, Self-emp-inc,218407, Some-college,10, Never-married, Exec-managerial, Not-in-family, White
47, Self-emp-not-inc,112200, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Black
44, Private,85604, HS-grad,9, Divorced, Craft-repair, Not-in-family, White
19, Private,111232, HS-grad,9, Never-married, Sales, Own-child, White
22, Private,99199, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
51, Private,199995, 9th,5, Married-civ-spouse, Craft-repair, Husband, White
69, Private,122850, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
73, ?,90557, 11th,7, Married-civ-spouse, ?, Husband, White
18, ?,271935, 11th,7, Never-married, ?, Other-relative, White
33, Self-emp-not-inc,361497, HS-grad,9, Never-married, Prof-specialty, Not-in-family, White
22, Local-gov,399020, Some-college,10, Never-married, Adm-clerical, Not-in-family, White
33, Private,345277, Bachelors,13, Never-married, Tech-support, Not-in-family, White
20, Federal-gov,55233, Some-college,10, Never-married, Adm-clerical, Other-relative, White
28, Self-emp-not-inc,200515, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
25, Private,188119, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White
27, Private,176683, HS-grad,9, Never-married, Other-service, Not-in-family, White
22, Private,309178, HS-grad,9, Never-married, Transport-moving, Own-child, White
67, Self-emp-not-inc,40021, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
31, Self-emp-inc,49923, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
36, ?,36635, Some-college,10, Never-married, ?, Unmarried, White
43, Federal-gov,325706, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander
33, Private,124407, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
37, Self-emp-not-inc,301568, HS-grad,9, Married-civ-spouse, Prof-specialty, Wife, White
27, Private,339956, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black
36, Private,176335, Some-college,10, Never-married, Transport-moving, Not-in-family, White
33, Private,198452, Assoc-acdm,12, Divorced, Sales, Not-in-family, White
63, Private,213945, Bachelors,13, Married-civ-spouse, Sales, Husband, White
48, Private,171807, Bachelors,13, Divorced, Other-service, Unmarried, White
25, Private,362826, HS-grad,9, Never-married, Handlers-cleaners, Other-relative, White
41, Self-emp-not-inc,344329, HS-grad,9, Married-civ-spouse, Other-service, Husband, White
26, Private,137678, HS-grad,9, Never-married, Other-service, Not-in-family, White
23, Private,175424, Some-college,10, Never-married, Adm-clerical, Own-child, Black
33, State-gov,73296, HS-grad,9, Never-married, Other-service, Unmarried, Black
30, State-gov,137613, Masters,14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander
67, Self-emp-not-inc,354405, HS-grad,9, Widowed, Other-service, Not-in-family, White
32, Private,130057, HS-grad,9, Married-civ-spouse, Sales, Husband, White
48, Self-emp-not-inc,362883, HS-grad,9, Divorced, Craft-repair, Not-in-family, White
51, Private,49017, HS-grad,9, Widowed, Other-service, Not-in-family, White
39, Private,149943, Masters,14, Never-married, Sales, Not-in-family, Asian-Pac-Islander
40, Self-emp-inc,99185, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
40, Private,294708, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black
19, Private,228238, HS-grad,9, Never-married, Machine-op-inspct, Other-relative, White
28, Private,156819, HS-grad,9, Divorced, Handlers-cleaners, Unmarried, White
47, Private,332727, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
20, Private,289944, Some-college,10, Never-married, Prof-specialty, Not-in-family, White
41, Private,116103, HS-grad,9, Widowed, Exec-managerial, Other-relative, White
29, Private,24153, Some-college,10, Married-civ-spouse, Other-service, Wife, Amer-Indian-Eskimo
40, Private,273425, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
61, Private,231183, HS-grad,9, Widowed, Exec-managerial, Not-in-family, White
25, Private,313930, 11th,7, Never-married, Craft-repair, Not-in-family, White
26, Private,114483, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
43, Private,162108, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White
17, Private,168807, 7th-8th,4, Never-married, Craft-repair, Not-in-family, White
43, Local-gov,143828, Masters,14, Divorced, Prof-specialty, Unmarried, Black
73, Private,242769, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
46, Local-gov,111558, Some-college,10, Divorced, Machine-op-inspct, Own-child, White
19, Private,69770, Some-college,10, Never-married, Other-service, Own-child, White
37, Private,291981, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White
26, Private,102460, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White
47, Private,151584, HS-grad,9, Divorced, Sales, Own-child, White
47, Local-gov,287320, Masters,14, Never-married, Prof-specialty, Not-in-family, White
29, Private,115677, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
29, Private,239632, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
33, Private,409172, Bachelors,13, Married-civ-spouse, Exec-managerial, Own-child, White
20, Private,186849, HS-grad,9, Never-married, Transport-moving, Other-relative, White
28, Private,118861, 10th,6, Married-civ-spouse, Craft-repair, Wife, Other
26, Private,142689, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
41, State-gov,170924, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
67, ?,274451, 7th-8th,4, Married-civ-spouse, ?, Husband, White
43, Private,153489, Bachelors,13, Married-civ-spouse, Sales, Husband, White
35, Private,186489, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White
18, Private,192409, 12th,8, Never-married, Other-service, Own-child, White
55, State-gov,337599, Some-college,10, Divorced, Adm-clerical, Not-in-family, White
44, Private,195545, HS-grad,9, Divorced, Machine-op-inspct, Own-child, Black
64, Private,61892, HS-grad,9, Widowed, Priv-house-serv, Not-in-family, White
34, Self-emp-not-inc,175697, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White
38, Private,80303, Some-college,10, Married-civ-spouse, Sales, Husband, White
25, Private,419658, HS-grad,9, Never-married, Other-service, Own-child, White
21, Private,319163, Some-college,10, Never-married, Transport-moving, Own-child, Black
37, Private,126743, 1st-4th,2, Married-civ-spouse, Other-service, Husband, White
39, Private,301568, Some-college,10, Divorced, Sales, Unmarried, White
34, Private,120461, Some-college,10, Divorced, Adm-clerical, Not-in-family, White
23, Private,268145, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
54, Private,257337, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
49, Self-emp-inc,213354, Masters,14, Separated, Exec-managerial, Not-in-family, White
25, Private,303431, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White
51, Private,124963, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, White
29, Private,158218, HS-grad,9, Never-married, Farming-fishing, Unmarried, White
27, State-gov,553473, Bachelors,13, Married-civ-spouse, Protective-serv, Wife, Black
53, Private,46155, HS-grad,9, Married-civ-spouse, Priv-house-serv, Other-relative, White
68, Private,138714, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
56, Private,231781, HS-grad,9, Married-civ-spouse, Sales, Husband, White
30, Private,496414, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White
24, Private,19410, HS-grad,9, Divorced, Sales, Unmarried, Amer-Indian-Eskimo
70, ?,28471, 9th,5, Widowed, ?, Unmarried, White
24, Private,185821, Some-college,10, Never-married, Sales, Own-child, White
74, ?,272667, Assoc-acdm,12, Widowed, ?, Not-in-family, White
23, ?,194031, Some-college,10, Never-married, ?, Not-in-family, White
41, Local-gov,144995, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
45, Private,162494, HS-grad,9, Never-married, Sales, Own-child, White
35, Private,171968, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
21, Private,232569, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White
45, Private,161819, 11th,7, Separated, Adm-clerical, Unmarried, Black
18, Private,123343, 11th,7, Never-married, Sales, Not-in-family, White
49, Private,105449, Bachelors,13, Never-married, Priv-house-serv, Not-in-family, White
49, Private,181717, Assoc-voc,11, Separated, Prof-specialty, Own-child, White
45, Local-gov,102359, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
27, Private,72887, HS-grad,9, Never-married, Handlers-cleaners, Other-relative, Asian-Pac-Islander
28, Private,154571, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander
35, Private,255191, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
33, Private,174789, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White
35, Private,110402, 11th,7, Married-civ-spouse, Sales, Husband, White
19, Private,208513, HS-grad,9, Never-married, Craft-repair, Other-relative, White
33, Private,121904, Some-college,10, Never-married, Other-service, Not-in-family, White
28, Private,34335, HS-grad,9, Divorced, Sales, Not-in-family, Amer-Indian-Eskimo
49, Private,59380, Some-college,10, Married-spouse-absent, Adm-clerical, Not-in-family, White
61, ?,135285, HS-grad,9, Married-civ-spouse, ?, Husband, White
39, Self-emp-inc,126675, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White
22, Private,217363, HS-grad,9, Separated, Adm-clerical, Unmarried, White
42, Private,91836, 10th,6, Married-civ-spouse, Craft-repair, Husband, White
22, Private,184813, Some-college,10, Never-married, Adm-clerical, Own-child, White
18, Private,178142, HS-grad,9, Never-married, Craft-repair, Own-child, White
49, Local-gov,102359, 9th,5, Widowed, Handlers-cleaners, Unmarried, White
33, Self-emp-inc,281832, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White
28, Private,96226, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
42, Private,195124, 7th-8th,4, Married-spouse-absent, Prof-specialty, Other-relative, White
20, Private,56322, Some-college,10, Never-married, Other-service, Own-child, White
50, Local-gov,97449, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White
