21, State-gov,39236, Some-college,10, Never-married, Tech-support, Not-in-family, White
58, Private,349910, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
52, Private,75839, Some-college,10, Married-civ-spouse, Tech-support, Husband, White
34, Private,176711, HS-grad,9, Never-married, Adm-clerical, Own-child, White
20, Private,266525, Some-college,10, Never-married, Prof-specialty, Other-relative, Black
25, ?,34307, Some-college,10, Never-married, ?, Not-in-family, White
46, Private,331776, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
54, Private,111469, Some-college,10, Divorced, Exec-managerial, Not-in-family, White
43, State-gov,198965, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
25, Private,288185, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White
21, Private,198050, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, White
65, Private,242580, Some-college,10, Divorced, Prof-specialty, Not-in-family, White
37, Private,173128, HS-grad,9, Divorced, Other-service, Not-in-family, White
29, Private,87905, HS-grad,9, Divorced, Other-service, Not-in-family, White
44, Private,173704, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
37, Federal-gov,93225, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White
38, Private,323269, Some-college,10, Married-civ-spouse, Other-service, Wife, Black
35, Private,158046, Some-college,10, Married-civ-spouse, Sales, Husband, White
32, Private,133503, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White
44, Self-emp-not-inc,172296, Some-college,10, Separated, Sales, Unmarried, White
39, ?,201105, Bachelors,13, Married-civ-spouse, ?, Wife, White
23, Private,176486, Some-college,10, Never-married, Other-service, Other-relative, White
25, Self-emp-inc,182750, Bachelors,13, Never-married, Sales, Not-in-family, White
23, Private,82497, Some-college,10, Never-married, Sales, Own-child, White
47, Private,208872, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
47, Private,145269, 11th,7, Divorced, Craft-repair, Not-in-family, White
25, Private,19214, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White
35, Private,149347, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
68, ?,53850, 7th-8th,4, Married-civ-spouse, ?, Husband, Amer-Indian-Eskimo
50, Private,158294, Assoc-voc,11, Married-civ-spouse, Tech-support, Husband, White
47, Private,152073, HS-grad,9, Divorced, Machine-op-inspct, Unmarried, White
35, Private,189623, Doctorate,16, Married-civ-spouse, Exec-managerial, Husband, White
24, Private,341368, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
21, Private,201603, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White
35, Private,270572, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White
30, Private,285295, Bachelors,13, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander
17, Private,126779, 11th,7, Never-married, Other-service, Own-child, Black
49, ?,202874, HS-grad,9, Separated, ?, Unmarried, White
27, Private,373499, 5th-6th,3, Never-married, Other-service, Not-in-family, White
22, Private,244773, HS-grad,9, Never-married, Sales, Own-child, Black
22, State-gov,96862, Some-college,10, Never-married, Adm-clerical, Own-child, White
50, Private,162632, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
51, Self-emp-not-inc,159755, Assoc-voc,11, Married-civ-spouse, Tech-support, Husband, White
27, Private,37088, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White
27, Private,335421, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
23, Never-worked,188535, 7th-8th,4, Divorced, ?, Not-in-family, White
20, State-gov,349365, HS-grad,9, Never-married, Other-service, Not-in-family, White
42, Private,33002, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
32, Private,330715, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
45, Private,146857, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
35, Private,275522, 7th-8th,4, Widowed, Other-service, Unmarried, White
22, Private,43646, HS-grad,9, Married-civ-spouse, Craft-repair, Own-child, White
34, Private,154548, Some-college,10, Never-married, Adm-clerical, Unmarried, White
28, Private,47907, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White
38, Private,238397, Bachelors,13, Divorced, Priv-house-serv, Unmarried, White
48, Local-gov,195949, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White
22, ?,354351, Some-college,10, Never-married, ?, Not-in-family, White
34, Private,349169, Masters,14, Married-civ-spouse, Craft-repair, Husband, White
25, Private,158662, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White
23, Local-gov,23438, HS-grad,9, Never-married, Prof-specialty, Not-in-family, White
38, Private,107302, Some-college,10, Married-civ-spouse, Sales, Husband, White
43, Private,174196, HS-grad,9, Never-married, Other-service, Unmarried, Black
49, Local-gov,226871, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Black
23, Private,124971, Some-college,10, Divorced, Adm-clerical, Not-in-family, White
57, Private,214061, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White
24, Private,441700, Bachelors,13, Never-married, Tech-support, Own-child, White
44, Self-emp-inc,104892, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
34, Private,234386, Assoc-acdm,12, Divorced, Craft-repair, Not-in-family, White
29, Local-gov,188278, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White
29, Private,244395, 11th,7, Never-married, Other-service, Unmarried, Black
35, Private,30916, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
48, Private,219565, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
38, Private,377486, HS-grad,9, Never-married, Craft-repair, Not-in-family, White
42, Local-gov,137232, HS-grad,9, Divorced, Protective-serv, Unmarried, White
53, Private,233369, Some-college,10, Widowed, Exec-managerial, Unmarried, White
29, Private,71067, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White
59, Private,195176, Bachelors,13, Married-civ-spouse, Sales, Husband, White
31, Private,98639, HS-grad,9, Never-married, Craft-repair, Unmarried, White
34, Private,183778, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
51, Private,123011, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White
25, Private,164938, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White
28, ?,147471, HS-grad,9, Divorced, ?, Own-child, White
30, Private,206046, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
46, Private,81497, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White
45, Private,189225, HS-grad,9, Never-married, Other-service, Unmarried, Black
23, Private,141264, Some-college,10, Never-married, Exec-managerial, Other-relative, Black
33, Private,97939, Assoc-acdm,12, Divorced, Machine-op-inspct, Not-in-family, White
44, Private,160829, Bachelors,13, Married-civ-spouse, Tech-support, Wife, White
25, Private,483822, HS-grad,9, Never-married, Other-service, Own-child, White
48, State-gov,148738, Some-college,10, Divorced, Other-service, Own-child, White
23, Private,289982, HS-grad,9, Never-married, Sales, Not-in-family, White
33, Self-emp-not-inc,58702, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Wife, White
20, Private,146706, Some-college,10, Married-civ-spouse, Sales, Other-relative, White
23, Private,420973, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
71, Private,124959, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White
