49, Private,168216, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White
56, Private,286487, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
39, Private,305597, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
39, Self-emp-not-inc,109766, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
30, Self-emp-not-inc,188798, HS-grad,9, Divorced, Other-service, Unmarried, White
43, Self-emp-not-inc,240170, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
31, Private,459465, Some-college,10, Never-married, Craft-repair, Not-in-family, White
44, Local-gov,162506, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
43, Self-emp-not-inc,145441, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
37, Federal-gov,129573, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White
41, Private,27444, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White
43, Private,195258, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White
47, State-gov,55272, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
38, Self-emp-not-inc,164526, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White
46, Private,27802, Assoc-voc,11, Married-civ-spouse, Machine-op-inspct, Husband, White
19, State-gov,165289, Some-college,10, Never-married, Other-service, Own-child, White
19, Private,274657, 5th-6th,3, Never-married, Other-service, Not-in-family, White
24, Private,317175, Bachelors,13, Married-civ-spouse, Sales, Husband, White
39, Self-emp-inc,163237, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White
37, Private,170408, Assoc-voc,11, Divorced, Machine-op-inspct, Not-in-family, White
28, ?,55950, Bachelors,13, Never-married, ?, Own-child, Black
40, Private,76625, HS-grad,9, Divorced, Craft-repair, Unmarried, White
27, Private,366066, Assoc-acdm,12, Never-married, Sales, Own-child, White
22, Private,349368, HS-grad,9, Never-married, Adm-clerical, Other-relative, White
21, Private,286824, Some-college,10, Never-married, Handlers-cleaners, Own-child, White
32, Private,373263, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White
20, Private,161978, HS-grad,9, Separated, Machine-op-inspct, Own-child, White
45, Private,543922, Masters,14, Divorced, Transport-moving, Not-in-family, White
46, Local-gov,109089, Prof-school,15, Married-civ-spouse, Protective-serv, Husband, White
46, Private,110151, Assoc-voc,11, Divorced, Exec-managerial, Unmarried, White
26, Private,34110, Some-college,10, Never-married, Protective-serv, Not-in-family, White
47, Self-emp-not-inc,118506, Bachelors,13, Married-civ-spouse, Exec-managerial, Own-child, White
22, Private,117789, Some-college,10, Never-married, Prof-specialty, Own-child, White
34, Self-emp-not-inc,353881, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
49, Private,200471, 1st-4th,2, Married-civ-spouse, Craft-repair, Husband, White
20, Private,258517, Some-college,10, Never-married, Handlers-cleaners, Own-child, White
28, Private,190367, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
30, Private,174704, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, Black
23, Private,179413, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
20, Private,329530, 9th,5, Never-married, Priv-house-serv, Own-child, White
31, Private,273818, Some-college,10, Married-civ-spouse, Other-service, Husband, White
46, Private,256522, 1st-4th,2, Never-married, Machine-op-inspct, Own-child, White
42, Private,196001, HS-grad,9, Separated, Adm-clerical, Unmarried, White
60, Self-emp-not-inc,282660, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White
30, Private,72630, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
27, Private,50295, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White
20, Private,203240, 9th,5, Never-married, Sales, Own-child, White
56, Self-emp-not-inc,172618, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
41, Private,202168, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
61, Private,176839, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
47, Private,176140, HS-grad,9, Divorced, Exec-managerial, Unmarried, Black
60, Private,39952, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White
33, Private,292465, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White
40, ?,161285, Some-college,10, Married-civ-spouse, ?, Wife, White
48, Private,355320, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
56, Private,182460, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White
50, Private,69345, Assoc-voc,11, Married-civ-spouse, Transport-moving, Husband, White
57, Self-emp-not-inc,102058, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
20, Private,165804, Some-college,10, Never-married, Adm-clerical, Own-child, Other
46, Private,318259, Assoc-voc,11, Divorced, Tech-support, Other-relative, White
21, Private,117606, Some-college,10, Never-married, Prof-specialty, Not-in-family, White
37, Private,170718, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
42, Private,413297, Some-college,10, Married-civ-spouse, Tech-support, Husband, White
20, Private,190457, HS-grad,9, Never-married, Other-service, Own-child, White
54, Private,88278, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White
32, Local-gov,217296, HS-grad,9, Married-civ-spouse, Transport-moving, Wife, White
62, ?,97231, Some-college,10, Married-civ-spouse, ?, Wife, White
50, Private,123429, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
49, Federal-gov,420282, Some-college,10, Never-married, Adm-clerical, Unmarried, Black
48, Private,498325, Assoc-acdm,12, Married-civ-spouse, Transport-moving, Husband, White
24, Private,248533, Some-college,10, Never-married, Sales, Other-relative, Black
46, Private,137354, Masters,14, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander
42, Private,272910, HS-grad,9, Divorced, Other-service, Not-in-family, White
52, Self-emp-inc,206054, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
58, Local-gov,92141, Assoc-acdm,12, Widowed, Adm-clerical, Not-in-family, Black
37, Private,163199, Some-college,10, Divorced, Tech-support, Not-in-family, Amer-Indian-Eskimo
34, Private,195860, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
26, Private,115717, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White
18, Private,120029, Some-college,10, Never-married, Adm-clerical, Other-relative, White
33, Private,221762, Some-college,10, Never-married, Prof-specialty, Not-in-family, Black
41, Private,342164, Some-college,10, Divorced, Sales, Not-in-family, White
21, Private,176356, Assoc-acdm,12, Never-married, Adm-clerical, Own-child, White
23, Private,133239, Assoc-voc,11, Never-married, Tech-support, Not-in-family, White
26, Federal-gov,169101, Some-college,10, Never-married, Tech-support, Own-child, White
33, Private,159442, Bachelors,13, Married-civ-spouse, Other-service, Wife, White
24, Private,174461, Some-college,10, Never-married, Exec-managerial, Own-child, White
43, Private,361280, 10th,6, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander
52, State-gov,447579, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White
27, ?,308995, Some-college,10, Divorced, ?, Own-child, Black
61, Private,248448, 7th-8th,4, Divorced, Other-service, Unmarried, White
35, Private,161141, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
35, Private,212465, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
45, Self-emp-inc,170871, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
43, Local-gov,233865, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
51, Private,163052, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White
35, Private,348690, Bachelors,13, Married-civ-spouse, Transport-moving, Husband, White
