33, Private, 169496, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K
56, Self-emp-not-inc, 115422, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 40, United-States, <=50K
35, Local-gov, 190964, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
41, Private, 113597, Some-college, 10, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 16, United-States, <=50K
65, Federal-gov, 179985, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
27, Private, 156266, HS-grad, 9, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male, 0, 0, 20, United-States, <=50K
44, Self-emp-not-inc, 111483, 10th, 6, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 50, United-States, <=50K
34, Local-gov, 172664, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
52, Private, 204322, Assoc-voc, 11, Married-civ-spouse, Tech-support, Husband, White, Male, 5013, 0, 40, United-States, <=50K
24, Private, 259865, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 30, United-States, <=50K
18, Private, 115630, 11th, 7, Never-married, Adm-clerical, Own-child, Black, Male, 0, 0, 20, United-States, <=50K
32, Private, 171116, HS-grad, 9, Divorced, Other-service, Own-child, White, Female, 0, 0, 40, United-States, <=50K
65, ?, 404601, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 2414, 0, 30, United-States, <=50K
19, Private, 194905, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 12, United-States, <=50K
60, Private, 349898, HS-grad, 9, Widowed, Other-service, Not-in-family, White, Female, 0, 0, 44, United-States, <=50K
42, Private, 182342, Some-college, 10, Widowed, Exec-managerial, Not-in-family, White, Female, 0, 0, 55, United-States, <=50K
33, Private, 403552, HS-grad, 9, Never-married, Other-service, Not-in-family, Black, Male, 0, 0, 32, United-States, <=50K
26, Self-emp-not-inc, 258306, 10th, 6, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 99, United-States, <=50K
