31, Private, 574005, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 44, United-States, >50K
37, Private, 409189, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 30, Mexico, <=50K
33, Private, 290763, Some-college, 10, Never-married, Sales, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
57, Private, 104996, Some-college, 10, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 42, United-States, <=50K
21, ?, 405684, HS-grad, 9, Never-married, ?, Other-relative, White, Male, 0, 0, 35, Mexico, <=50K
30, Local-gov, 48542, 12th, 8, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 40, United-States, <=50K
61, Self-emp-not-inc, 221884, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 50, United-States, >50K
48, Private, 33669, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 60, United-States, <=50K
35, Private, 66297, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 40, Philippines, >50K
33, Self-emp-not-inc, 361497, HS-grad, 9, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
23, Private, 228230, Some-college, 10, Married-civ-spouse, Sales, Wife, White, Female, 0, 0, 47, United-States, <=50K
30, Self-emp-inc, 77689, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 7688, 0, 50, United-States, >50K
47, Local-gov, 126754, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
42, Private, 197522, Some-college, 10, Separated, Machine-op-inspct, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
26, Private, 195327, HS-grad, 9, Never-married, Sales, Own-child, White, Male, 0, 0, 40, United-States, <=50K
41, Private, 57233, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 70, United-States, <=50K
