27, Private, 221366, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 3103, 0, 50, United-States, >50K
76, Private, 127016, 7th-8th, 4, Widowed, Priv-house-serv, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
30, Private, 155343, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 5013, 0, 40, United-States, <=50K
61, ?, 232618, Prof-school, 15, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 40, United-States, >50K
25, ?, 156848, Some-college, 10, Never-married, ?, Own-child, White, Male, 0, 0, 40, United-States, <=50K
35, Private, 240389, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 43, United-States, >50K
23, ?, 449101, HS-grad, 9, Married-civ-spouse, ?, Own-child, White, Female, 0, 0, 30, United-States, <=50K
20, Private, 174714, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 40, United-States, <=50K
35, ?, 35854, Some-college, 10, Never-married, ?, Own-child, White, Female, 0, 0, 40, United-States, <=50K
24, ?, 138504, HS-grad, 9, Separated, ?, Unmarried, Black, Female, 0, 0, 37, United-States, <=50K
41, Federal-gov, 130760, Bachelors, 13, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 24, United-States, <=50K
42, Private, 173628, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
21, Private, 409230, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, Guatemala, <=50K
67, Self-emp-not-inc, 45814, 7th-8th, 4, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 40, United-States, <=50K
27, Private, 168827, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
37, Private, 95855, 11th, 7, Divorced, Handlers-cleaners, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
25, Private, 193820, Masters, 14, Never-married, Prof-specialty, Own-child, White, Female, 0, 0, 40, United-States, <=50K
52, Private, 99602, HS-grad, 9, Separated, Craft-repair, Own-child, Black, Female, 0, 0, 40, United-States, <=50K
55, Private, 84231, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, United-States, <=50K
36, Private, 398931, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
47, Private, 107460, HS-grad, 9, Separated, Exec-managerial, Unmarried, White, Female, 0, 0, 37, United-States, <=50K
39, Private, 340091, Some-college, 10, Separated, Other-service, Unmarried, White, Female, 0, 0, 75, United-States, <=50K
55, Private, 153484, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1977, 50, United-States, >50K
62, Private, 84756, 9th, 5, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 35, United-States, <=50K
50, Local-gov, 154779, Some-college, 10, Divorced, Adm-clerical, Not-in-family, Black, Female, 0, 0, 40, United-States, <=50K
55, Private, 198145, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 7298, 0, 40, United-States, >50K
17, ?, 634226, 10th, 6, Never-married, ?, Own-child, White, Female, 0, 0, 17, United-States, <=50K
33, Local-gov, 161942, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Female, 1055, 0, 40, United-States, <=50K
25, Private, 109419, HS-grad, 9, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K
61, Self-emp-inc, 98350, Doctorate, 16, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male, 0, 0, 40, Taiwan, >50K
23, Private, 312017, Some-college, 10, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
59, ?, 160662, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 2407, 0, 60, United-States, <=50K
49, Private, 68505, 9th, 5, Divorced, Other-service, Not-in-family, Black, Male, 0, 0, 37, United-States, <=50K
68, Private, 148874, 9th, 5, Married-civ-spouse, Craft-repair, Husband, Black, Male, 0, 0, 44, United-States, <=50K
22, Private, 320451, Some-college, 10, Never-married, Protective-serv, Own-child, Asian-Pac-Islander, Male, 0, 0, 24, India, <=50K
54, Private, 230919, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
69, ?, 473040, 5th-6th, 3, Divorced, ?, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
20, ?, 249087, Some-college, 10, Never-married, ?, Own-child, White, Female, 0, 0, 40, United-States, <=50K
35, Private, 270059, Some-college, 10, Divorced, Sales, Unmarried, White, Female, 0, 0, 30, United-States, <=50K
54, State-gov, 198186, HS-grad, 9, Never-married, Other-service, Not-in-family, Black, Female, 0, 0, 38, United-States, <=50K
38, Private, 278557, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, >50K
33, Private, 228696, 1st-4th, 2, Married-civ-spouse, Craft-repair, Not-in-family, White, Male, 0, 2603, 32, Mexico, <=50K
36, Self-emp-not-inc, 64875, Assoc-voc, 11, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 60, United-States, <=50K
37, Private, 280464, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, Black, Male, 0, 0, 80, United-States, >50K
36, State-gov, 98037, Assoc-voc, 11, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male, 0, 0, 40, United-States, <=50K
45, Private, 192835, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1977, 55, United-States, >50K
35, Private, 112271, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, <=50K
39, Self-emp-inc, 167482, Assoc-acdm, 12, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
32, State-gov, 171111, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 37, United-States, <=50K
32, Private, 61898, 11th, 7, Divorced, Other-service, Unmarried, White, Female, 0, 0, 15, United-States, <=50K
27, Private, 275110, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, 0, 0, 80, United-States, >50K
24, Private, 37072, Some-college, 10, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
30, Federal-gov, 356689, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 30, Japan, <=50K
37, Private, 151764, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, <=50K
52, Self-emp-not-inc, 217210, HS-grad, 9, Widowed, Other-service, Other-relative, Black, Female, 0, 0, 40, United-States, <=50K
69, Local-gov, 286983, Some-college, 10, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
35, Self-emp-not-inc, 216129, 12th, 8, Never-married, Other-service, Not-in-family, Black, Female, 0, 0, 40, Trinadad&Tobago, <=50K
