60, Self-emp-not-inc, 33717, 11th, 7, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 50, United-States, <=50K
33, Private, 184306, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 45, United-States, <=50K
28, Private, 107411, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K
19, Private, 299050, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 20, United-States, <=50K
31, Private, 163516, Some-college, 10, Widowed, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
31, Local-gov, 189843, HS-grad, 9, Divorced, Protective-serv, Not-in-family, White, Male, 0, 0, 47, United-States, >50K
36, Private, 186865, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, >50K
40, Private, 173590, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
33, Private, 301867, Some-college, 10, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female, 0, 0, 35, United-States, <=50K
32, Private, 87643, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K
31, Private, 226443, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
26, Private, 177951, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 48, United-States, <=50K
33, Private, 391114, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 40, United-States, <=50K
26, Private, 132749, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 45, United-States, <=50K
33, Private, 296538, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 45, United-States, >50K
19, Private, 280146, Some-college, 10, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 20, United-States, <=50K
49, Private, 105431, HS-grad, 9, Divorced, Other-service, Not-in-family, Black, Female, 0, 0, 40, United-States, <=50K
62, Private, 167652, Assoc-voc, 11, Divorced, Sales, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
36, Private, 215392, Bachelors, 13, Divorced, Tech-support, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
43, Private, 108945, Some-college, 10, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 38, United-States, <=50K
23, Private, 414545, Some-college, 10, Never-married, Machine-op-inspct, Own-child, Black, Male, 0, 0, 40, United-States, <=50K
29, Private, 185127, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, <=50K
17, Private, 134480, 11th, 7, Never-married, Priv-house-serv, Own-child, White, Female, 0, 0, 25, United-States, <=50K
65, Self-emp-not-inc, 118474, 11th, 7, Married-civ-spouse, Exec-managerial, Husband, White, Male, 9386, 0, 59, ?, >50K
20, Private, 148709, Some-college, 10, Never-married, Prof-specialty, Unmarried, White, Female, 0, 0, 25, United-States, <=50K
24, Private, 124971, HS-grad, 9, Never-married, Sales, Not-in-family, White, Male, 0, 0, 38, United-States, <=50K
44, Private, 191256, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 65, United-States, >50K
28, Self-emp-not-inc, 54683, Some-college, 10, Never-married, Craft-repair, Not-in-family, White, Male, 0, 1590, 40, United-States, <=50K
41, Private, 107584, Some-college, 10, Separated, Transport-moving, Not-in-family, White, Male, 0, 0, 35, United-States, <=50K
39, Private, 186191, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1848, 50, United-States, >50K
29, State-gov, 303446, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 25, Nicaragua, <=50K
25, Private, 374163, 12th, 8, Married-civ-spouse, Farming-fishing, Husband, Other, Male, 0, 0, 60, Mexico, <=50K
47, Private, 34248, Assoc-voc, 11, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, >50K
22, Private, 73266, Some-college, 10, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Male, 0, 0, 40, United-States, <=50K
