63, Local-gov,28856, 7th-8th,4, Married-civ-spouse, Other-service, Husband, White
51, Self-emp-not-inc,175897, 9th,5, Married-civ-spouse, Craft-repair, Husband, White
22, Private,99697, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White
27, ?,90270, Assoc-acdm,12, Married-civ-spouse, ?, Own-child, Amer-Indian-Eskimo
35, Private,152375, HS-grad,9, Never-married, Sales, Not-in-family, White
46, Private,171550, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White
37, Private,211154, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, White
24, Private,202570, Bachelors,13, Never-married, Prof-specialty, Own-child, Black
37, Self-emp-not-inc,168496, HS-grad,9, Divorced, Handlers-cleaners, Own-child, White
53, Private,68898, Some-college,10, Married-civ-spouse, Tech-support, Husband, White
27, Private,93235, HS-grad,9, Never-married, Sales, Not-in-family, White
38, Private,278924, Some-college,10, Divorced, Craft-repair, Not-in-family, White
53, Self-emp-not-inc,311020, 10th,6, Married-civ-spouse, Farming-fishing, Husband, White
34, Private,175878, Some-college,10, Never-married, Craft-repair, Not-in-family, White
23, Private,543028, HS-grad,9, Never-married, Sales, Own-child, Black
39, Private,202027, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
43, Private,158926, Masters,14, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander
67, Self-emp-inc,76860, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander
81, Self-emp-not-inc,136063, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
21, Private,186648, Some-college,10, Never-married, Other-service, Own-child, White
23, Private,257509, Some-college,10, Never-married, Sales, Not-in-family, White
25, Private,98155, Some-college,10, Never-married, Transport-moving, Unmarried, White
42, Private,274198, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Wife, White
38, Private,97083, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, Black
64, ?,29825, HS-grad,9, Married-civ-spouse, ?, Husband, White
32, Private,262153, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
37, Private,214738, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
51, Private,138022, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
22, Private,91842, Some-college,10, Never-married, Sales, Not-in-family, White
33, Private,373662, 1st-4th,2, Married-spouse-absent, Priv-house-serv, Not-in-family, White
42, Private,162003, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White
19, ?,52114, Some-college,10, Never-married, ?, Own-child, White
51, Local-gov,241843, Preschool,1, Married-civ-spouse, Other-service, Husband, White
23, Private,375871, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White
37, Private,186934, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White
37, Private,176900, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
47, Private,21906, Masters,14, Never-married, Prof-specialty, Not-in-family, White
41, Private,132222, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
33, Private,143653, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
31, Private,111567, Bachelors,13, Never-married, Sales, Not-in-family, White
31, Private,78602, Assoc-acdm,12, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo
35, Private,465507, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Black
38, Self-emp-inc,196373, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
18, Private,293227, HS-grad,9, Never-married, Other-service, Not-in-family, White
20, Private,241752, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
54, Local-gov,166398, Some-college,10, Divorced, Exec-managerial, Unmarried, Black
40, Private,184682, Some-college,10, Divorced, Adm-clerical, Unmarried, White
36, Self-emp-inc,108293, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White
43, Private,250802, Some-college,10, Divorced, Craft-repair, Unmarried, White
44, Self-emp-not-inc,325159, Some-college,10, Divorced, Farming-fishing, Unmarried, White
44, State-gov,174675, HS-grad,9, Married-civ-spouse, Prof-specialty, Wife, White
43, Private,227065, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
51, Private,269080, 7th-8th,4, Widowed, Other-service, Unmarried, Black
18, Private,177722, HS-grad,9, Never-married, Other-service, Own-child, White
51, Private,133461, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
41, Private,239683, 10th,6, Married-civ-spouse, Craft-repair, Husband, White
44, Self-emp-inc,398473, Some-college,10, Married-civ-spouse, Sales, Husband, White
33, Local-gov,298785, 10th,6, Divorced, Transport-moving, Not-in-family, White
33, Self-emp-not-inc,123424, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
42, Private,176286, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Husband, White
25, Private,150062, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White
32, Private,169240, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White
32, Private,288273, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White
36, Private,526968, 10th,6, Divorced, Exec-managerial, Unmarried, White
28, Private,57066, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
20, Private,323573, HS-grad,9, Never-married, Other-service, Own-child, White
35, Self-emp-inc,368825, Some-college,10, Married-civ-spouse, Sales, Husband, White
55, Self-emp-not-inc,189721, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
