45, Federal-gov,320818, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black
30, Local-gov,235271, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
37, Private,166497, Bachelors,13, Divorced, Craft-repair, Not-in-family, White
44, Private,344060, Bachelors,13, Never-married, Other-service, Not-in-family, White
33, Private,221196, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Black
61, Self-emp-inc,113544, Masters,14, Married-civ-spouse, Sales, Husband, White
61, Local-gov,321117, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White
38, Private,79619, Bachelors,13, Married-civ-spouse, Sales, Husband, White
22, ?,42004, Some-college,10, Never-married, ?, Own-child, White
36, Private,135289, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
44, Self-emp-inc,320984, Some-college,10, Married-civ-spouse, Sales, Husband, White
37, Private,203070, Some-college,10, Separated, Adm-clerical, Own-child, White
31, Private,32406, Some-college,10, Divorced, Craft-repair, Unmarried, White
54, Private,99185, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White
20, Private,205839, Some-college,10, Never-married, Other-service, Own-child, White
63, ?,150389, Bachelors,13, Widowed, ?, Not-in-family, White
48, Self-emp-not-inc,243631, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo
33, ?,163003, HS-grad,9, Divorced, ?, Not-in-family, Asian-Pac-Islander
31, Private,231263, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White
38, Private,200818, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
45, Self-emp-not-inc,247379, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
48, Private,349151, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
53, Private,22154, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
55, Private,176317, HS-grad,9, Widowed, Adm-clerical, Own-child, White
38, Private,22245, Masters,14, Married-civ-spouse, Transport-moving, Husband, White
29, Private,236436, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
36, Private,354078, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
42, Self-emp-not-inc,166813, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White
50, Private,358740, HS-grad,9, Divorced, Adm-clerical, Unmarried, White
75, Self-emp-not-inc,208426, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
46, Private,265266, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
52, Federal-gov,31838, HS-grad,9, Divorced, Adm-clerical, Unmarried, White
27, Private,175034, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White
43, Private,413297, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
31, Private,106347, 11th,7, Separated, Other-service, Not-in-family, Black
23, Private,174754, Some-college,10, Never-married, Sales, Not-in-family, White
34, Private,441454, HS-grad,9, Never-married, Sales, Not-in-family, White
41, Self-emp-not-inc,209344, HS-grad,9, Married-civ-spouse, Sales, Other-relative, White
31, Private,185732, HS-grad,9, Never-married, Other-service, Own-child, White
42, Private,65372, Some-college,10, Never-married, Adm-clerical, Own-child, White
35, Private,33975, Masters,14, Never-married, Prof-specialty, Not-in-family, White
55, Private,326297, HS-grad,9, Separated, Adm-clerical, Not-in-family, White
36, State-gov,194630, HS-grad,9, Widowed, Exec-managerial, Not-in-family, White
65, Self-emp-not-inc,167414, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
38, Local-gov,165799, Some-college,10, Never-married, Other-service, Not-in-family, White
62, Private,192866, Some-college,10, Widowed, Other-service, Not-in-family, White
54, Self-emp-inc,166459, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
49, Private,148995, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White
34, Private,190040, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White
32, Private,209432, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White
51, Self-emp-inc,229465, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
48, Self-emp-not-inc,397466, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
30, Private,283767, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White
52, Federal-gov,202452, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White
28, Self-emp-not-inc,218555, Some-college,10, Never-married, Transport-moving, Not-in-family, White
29, Private,128604, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander
38, Private,65466, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White
57, Private,141326, HS-grad,9, Married-civ-spouse, Sales, Husband, White
43, Federal-gov,369468, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
37, State-gov,136137, Some-college,10, Separated, Adm-clerical, Not-in-family, White
30, Private,236770, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
53, Private,89534, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
69, ?,195779, Assoc-voc,11, Widowed, ?, Not-in-family, White
73, Private,29778, HS-grad,9, Widowed, Other-service, Not-in-family, White
22, Self-emp-inc,153516, Some-college,10, Never-married, Craft-repair, Own-child, White
31, Private,163594, HS-grad,9, Never-married, Sales, Not-in-family, White
38, Private,189623, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
50, Self-emp-not-inc,343748, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
37, Private,387430, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White
44, Local-gov,409505, Bachelors,13, Divorced, Protective-serv, Not-in-family, White
47, Private,200734, Bachelors,13, Never-married, Exec-managerial, Unmarried, Black
27, Private,115831, Some-college,10, Married-civ-spouse, Other-service, Husband, White
28, Private,150296, Assoc-acdm,12, Never-married, Other-service, Not-in-family, White
25, Private,323545, HS-grad,9, Never-married, Tech-support, Not-in-family, Black
20, Private,232577, Some-college,10, Never-married, Other-service, Unmarried, White
51, Local-gov,152754, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White
46, Private,129007, Bachelors,13, Married-civ-spouse, Sales, Husband, White
67, Private,171584, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White
47, Private,386136, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
42, Private,342865, HS-grad,9, Married-civ-spouse, Sales, Husband, White
52, Private,186785, HS-grad,9, Never-married, Sales, Not-in-family, White
42, Federal-gov,158926, Assoc-acdm,12, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander
65, ?,36039, HS-grad,9, Married-civ-spouse, ?, Husband, White
21, Private,164019, Some-college,10, Never-married, Farming-fishing, Own-child, Black
50, Private,88926, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White
46, Private,188861, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White
47, Self-emp-not-inc,370119, Bachelors,13, Married-civ-spouse, Sales, Husband, White
57, Private,182062, 10th,6, Married-civ-spouse, Other-service, Husband, White
37, Private,37238, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
50, Private,421132, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
58, ?,178660, 12th,8, Married-civ-spouse, ?, Husband, White
63, Self-emp-not-inc,795830, 1st-4th,2, Widowed, Other-service, Unmarried, White
39, Private,278403, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
46, Private,279661, Masters,14, Married-civ-spouse, Prof-specialty, Husband, Black
36, Private,113397, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White
26, Private,280093, 5th-6th,3, Married-civ-spouse, Craft-repair, Husband, White
21, Private,236696, Some-college,10, Never-married, Other-service, Not-in-family, White
41, Private,265266, Assoc-acdm,12, Married-civ-spouse, Tech-support, Husband, White
44, Local-gov,34935, Some-college,10, Never-married, Other-service, Own-child, Black
22, Private,58222, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
29, Federal-gov,301010, Some-college,10, Never-married, Armed-Forces, Not-in-family, Black
29, Private,419721, HS-grad,9, Never-married, Other-service, Unmarried, Black
58, Self-emp-inc,186791, Some-college,10, Married-civ-spouse, Transport-moving, Wife, White
36, Self-emp-not-inc,180686, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
30, Private,209103, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White
37, Private,32668, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Husband, White
29, Private,256956, Assoc-voc,11, Never-married, Machine-op-inspct, Not-in-family, White
26, Private,202203, 5th-6th,3, Never-married, Adm-clerical, Own-child, White
43, Private,85995, HS-grad,9, Married-civ-spouse, Sales, Husband, White
49, Private,125421, HS-grad,9, Married-civ-spouse, Craft-repair, Wife, White
45, Federal-gov,283037, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
28, Private,192932, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
20, ?,244689, Some-college,10, Never-married, ?, Not-in-family, White
51, Private,179646, HS-grad,9, Divorced, Adm-clerical, Unmarried, White
32, Private,509350, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White
24, Private,96279, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White
35, Private,119098, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White
35, ?,327120, Assoc-acdm,12, Never-married, ?, Not-in-family, White
41, State-gov,144928, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
48, Private,55237, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White
61, Local-gov,101265, HS-grad,9, Widowed, Adm-clerical, Unmarried, White
20, Private,114874, Some-college,10, Never-married, Adm-clerical, Own-child, White
27, Private,190525, HS-grad,9, Never-married, Sales, Not-in-family, White
