37, Self-emp-inc,395831, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
49, Private,50282, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, White
20, Private,32732, Some-college,10, Never-married, Other-service, Not-in-family, White
64, Self-emp-inc,179436, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
60, ?,290593, Masters,14, Married-civ-spouse, ?, Husband, White
32, Private,123253, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White
58, State-gov,48433, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
42, Private,245317, HS-grad,9, Married-civ-spouse, Sales, Husband, White
20, Private,431745, Some-college,10, Never-married, Adm-clerical, Not-in-family, Black
42, State-gov,436006, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, Black
25, Private,224943, Some-college,10, Married-spouse-absent, Prof-specialty, Unmarried, Black
30, Self-emp-not-inc,167990, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White
37, Self-emp-inc,217054, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
66, Self-emp-not-inc,298834, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White
59, Self-emp-inc,125000, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
44, Private,123983, Bachelors,13, Divorced, Other-service, Not-in-family, Asian-Pac-Islander
46, Private,155489, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White
59, Private,284834, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, White
25, Private,212495, Bachelors,13, Never-married, Exec-managerial, Own-child, White
17, Local-gov,32124, 9th,5, Never-married, Other-service, Own-child, Black
47, Local-gov,246891, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White
47, State-gov,141483, 9th,5, Divorced, Other-service, Not-in-family, White
30, Private,31985, Some-college,10, Divorced, Exec-managerial, Unmarried, White
20, Private,170800, Some-college,10, Never-married, Farming-fishing, Own-child, White
26, Local-gov,166295, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
20, Private,231286, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, Black
33, Private,159322, HS-grad,9, Divorced, Other-service, Unmarried, White
48, Private,176026, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
52, Private,118025, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
37, Private,26898, HS-grad,9, Divorced, Exec-managerial, Unmarried, White
47, Private,232628, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black
40, Private,85995, 10th,6, Married-civ-spouse, Machine-op-inspct, Husband, White
48, Private,125421, Masters,14, Divorced, Exec-managerial, Unmarried, White
49, Private,245305, 10th,6, Married-civ-spouse, Transport-moving, Husband, Black
50, Private,73493, Some-college,10, Divorced, Other-service, Not-in-family, White
30, Private,197058, Assoc-acdm,12, Never-married, Prof-specialty, Not-in-family, White
34, Private,122116, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
43, Private,75742, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
22, Private,214731, 10th,6, Married-civ-spouse, Machine-op-inspct, Wife, White
35, Private,265954, HS-grad,9, Separated, Other-service, Not-in-family, Black
26, State-gov,197156, HS-grad,9, Divorced, Adm-clerical, Own-child, White
62, Private,162245, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
39, Local-gov,203070, HS-grad,9, Separated, Protective-serv, Not-in-family, White
59, Local-gov,165695, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
69, ?,473040, 5th-6th,3, Divorced, ?, Not-in-family, White
27, Private,168107, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White
17, Private,163494, 10th,6, Never-married, Sales, Own-child, White
38, Private,180342, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White
41, Private,122381, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
27, Private,148069, 10th,6, Never-married, Machine-op-inspct, Unmarried, White
23, Private,200973, HS-grad,9, Never-married, Adm-clerical, Own-child, White
17, Private,130806, 10th,6, Never-married, Handlers-cleaners, Own-child, White
56, Private,117148, 7th-8th,4, Divorced, Machine-op-inspct, Not-in-family, White
24, Private,213977, Some-college,10, Never-married, Adm-clerical, Not-in-family, White
62, Private,134768, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White
44, Private,139338, 12th,8, Divorced, Transport-moving, Unmarried, Black
23, Private,315877, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White
41, Self-emp-not-inc,195124, HS-grad,9, Never-married, Sales, Not-in-family, White
25, Private,352057, HS-grad,9, Never-married, Transport-moving, Not-in-family, White
21, Private,236684, Some-college,10, Never-married, Other-service, Other-relative, Black
18, Private,208447, 12th,8, Never-married, Handlers-cleaners, Own-child, White
45, Private,149640, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
75, ?,111177, Bachelors,13, Widowed, ?, Not-in-family, White
51, Private,154342, 7th-8th,4, Married-civ-spouse, Protective-serv, Husband, White
42, Federal-gov,141459, HS-grad,9, Separated, Other-service, Other-relative, Black
47, Private,111797, Some-college,10, Never-married, Other-service, Not-in-family, Black
29, Private,111900, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White
33, Private,78707, 11th,7, Never-married, Other-service, Not-in-family, Black
43, Local-gov,160574, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White
20, ?,174714, Some-college,10, Never-married, ?, Own-child, White
19, ?,62534, Bachelors,13, Never-married, ?, Own-child, Black
44, Private,216907, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White
24, Private,198148, Some-college,10, Never-married, Other-service, Own-child, White
19, Private,124265, Some-college,10, Never-married, Handlers-cleaners, Own-child, White
49, ?,261059, 10th,6, Separated, ?, Own-child, White
52, Private,208137, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Husband, White
38, Self-emp-not-inc,257250, HS-grad,9, Never-married, Farming-fishing, Not-in-family, White
24, State-gov,147253, Some-college,10, Never-married, Tech-support, Not-in-family, White
32, Local-gov,244268, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
72, ?,213255, HS-grad,9, Widowed, ?, Not-in-family, White
26, Private,266912, HS-grad,9, Married-civ-spouse, Sales, Husband, White
31, Private,169104, Bachelors,13, Never-married, Sales, Own-child, Asian-Pac-Islander
29, Private,200511, Bachelors,13, Married-civ-spouse, Sales, Husband, White
39, Private,128715, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White
48, Self-emp-not-inc,65535, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
40, Private,103395, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
51, Private,71046, Some-college,10, Divorced, Exec-managerial, Unmarried, White
28, Self-emp-not-inc,125442, HS-grad,9, Divorced, Craft-repair, Own-child, White
22, Private,169188, HS-grad,9, Never-married, Exec-managerial, Own-child, White
23, Private,121471, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White
65, Private,207281, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White
26, Local-gov,46097, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
20, ?,206671, Some-college,10, Never-married, ?, Own-child, White
55, Private,98361, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
38, Self-emp-not-inc,322143, Bachelors,13, Married-civ-spouse, Other-service, Husband, White
33, Private,149184, HS-grad,9, Never-married, Prof-specialty, Not-in-family, White
33, Local-gov,119829, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White
37, Private,910398, Bachelors,13, Never-married, Sales, Not-in-family, Black
19, Private,176570, 11th,7, Never-married, Machine-op-inspct, Own-child, White
24, Private,216129, Bachelors,13, Never-married, Sales, Not-in-family, White
30, Private,27207, 11th,7, Married-civ-spouse, Craft-repair, Husband, White
57, State-gov,68830, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White
22, State-gov,178818, Some-college,10, Never-married, Prof-specialty, Own-child, White
57, Private,236944, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Black
46, State-gov,273771, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White
67, Private,318533, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White
35, ?,451940, HS-grad,9, Never-married, ?, Unmarried, Black
47, Private,102318, HS-grad,9, Separated, Craft-repair, Own-child, White
