28, Private,186792, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White
38, Private,204640, Some-college,10, Widowed, Adm-clerical, Unmarried, Black
52, Private,87205, HS-grad,9, Divorced, Other-service, Not-in-family, White
38, Self-emp-inc,112847, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander
41, Private,107306, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White
50, State-gov,211319, Masters,14, Never-married, Prof-specialty, Not-in-family, White
59, Private,183606, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White
32, Private,205390, HS-grad,9, Married-civ-spouse, Sales, Husband, White
73, Local-gov,232871, 7th-8th,4, Married-civ-spouse, Protective-serv, Husband, White
52, Self-emp-inc,101017, HS-grad,9, Divorced, Exec-managerial, Unmarried, White
57, Private,114495, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
35, Private,183898, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White
51, Private,163921, Bachelors,13, Married-civ-spouse, Transport-moving, Husband, White
22, Private,311764, 11th,7, Widowed, Sales, Own-child, Black
49, Private,188330, HS-grad,9, Married-civ-spouse, Sales, Husband, White
22, Private,267174, HS-grad,9, Never-married, Handlers-cleaners, Own-child, Black
46, Local-gov,36228, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
48, Private,199739, HS-grad,9, Divorced, Craft-repair, Unmarried, White
52, Private,185407, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
43, State-gov,206139, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White
25, Private,282063, 7th-8th,4, Married-civ-spouse, Handlers-cleaners, Husband, White
31, Private,332379, 7th-8th,4, Never-married, Craft-repair, Not-in-family, White
19, Private,418324, Some-college,10, Never-married, Sales, Own-child, White
19, ?,263338, Some-college,10, Never-married, ?, Own-child, White
51, Private,158948, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
51, Private,221532, Bachelors,13, Divorced, Exec-managerial, Unmarried, White
22, Self-emp-not-inc,202920, HS-grad,9, Never-married, Prof-specialty, Unmarried, White
37, Local-gov,118909, HS-grad,9, Divorced, Adm-clerical, Unmarried, Black
19, Private,286469, Some-college,10, Never-married, Sales, Own-child, White
45, Private,191914, HS-grad,9, Divorced, Transport-moving, Unmarried, White
21, State-gov,142766, Some-college,10, Never-married, Other-service, Own-child, White
52, Private,198744, HS-grad,9, Widowed, Sales, Not-in-family, White
46, Local-gov,272780, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White
42, State-gov,219553, Masters,14, Divorced, Prof-specialty, Not-in-family, White
56, Private,261232, HS-grad,9, Never-married, Craft-repair, Not-in-family, White
23, Private,64292, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
58, Private,312131, Masters,14, Married-civ-spouse, Sales, Husband, White
70, Private,30713, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
30, Private,246439, Some-college,10, Divorced, Adm-clerical, Unmarried, White
45, Private,338105, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander
23, Private,228243, Some-college,10, Never-married, Craft-repair, Not-in-family, White
34, Local-gov,62463, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White
38, Private,31603, Bachelors,13, Married-civ-spouse, Craft-repair, Wife, White
24, Private,165054, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White
53, Private,121618, 7th-8th,4, Never-married, Transport-moving, Not-in-family, Amer-Indian-Eskimo
45, Federal-gov,273194, HS-grad,9, Never-married, Transport-moving, Not-in-family, Black
21, ?,163665, Some-college,10, Never-married, ?, Own-child, White
21, Private,538319, Some-college,10, Never-married, Other-service, Own-child, White
34, Private,238246, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
32, Self-emp-inc,244665, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
21, Private,131811, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White
63, ?,231777, Masters,14, Married-civ-spouse, ?, Husband, White
23, Private,156807, 9th,5, Never-married, Handlers-cleaners, Own-child, Black
28, Private,236861, Bachelors,13, Divorced, Craft-repair, Unmarried, White
29, Self-emp-not-inc,229842, HS-grad,9, Never-married, Transport-moving, Unmarried, Black
25, Local-gov,190057, Bachelors,13, Never-married, Prof-specialty, Own-child, White
44, State-gov,55076, Masters,14, Never-married, Prof-specialty, Not-in-family, White
18, Private,152545, HS-grad,9, Never-married, Other-service, Own-child, White
26, Private,153434, HS-grad,9, Never-married, Other-service, Own-child, White
47, Local-gov,171095, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Wife, White
23, Private,239322, HS-grad,9, Divorced, Sales, Not-in-family, White
46, Private,138999, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White
61, Local-gov,95450, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
25, Private,176520, HS-grad,9, Never-married, Craft-repair, Other-relative, White
38, Local-gov,72338, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander
60, ?,386261, Bachelors,13, Married-spouse-absent, ?, Unmarried, Black
23, Private,235722, Some-college,10, Never-married, Other-service, Not-in-family, White
36, Federal-gov,128884, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White
46, Private,187226, 9th,5, Divorced, Other-service, Not-in-family, White
32, Self-emp-not-inc,298332, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
40, Private,173607, 10th,6, Married-civ-spouse, Transport-moving, Husband, White
31, Private,226756, HS-grad,9, Never-married, Adm-clerical, Own-child, Black
31, Private,157887, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
32, State-gov,171111, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White
21, Private,126314, Some-college,10, Never-married, Other-service, Own-child, White
63, Private,174018, Some-college,10, Married-civ-spouse, Sales, Husband, Black
44, Private,144778, Some-college,10, Separated, Exec-managerial, Not-in-family, White
42, Self-emp-not-inc,201522, Bachelors,13, Married-civ-spouse, Sales, Husband, White
23, ?,22966, Bachelors,13, Never-married, ?, Own-child, White
30, Private,399088, Some-college,10, Divorced, Adm-clerical, Not-in-family, White
24, Private,282202, HS-grad,9, Never-married, Other-service, Unmarried, White
42, Private,102606, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White
44, Self-emp-not-inc,246862, HS-grad,9, Married-civ-spouse, Prof-specialty, Wife, White
27, Federal-gov,508336, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Black
27, Local-gov,263431, Some-college,10, Never-married, Exec-managerial, Unmarried, White
22, Private,235733, HS-grad,9, Never-married, Other-service, Not-in-family, White
68, Private,107910, HS-grad,9, Never-married, Sales, Not-in-family, White
55, Self-emp-not-inc,184425, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White
22, Self-emp-not-inc,143062, HS-grad,9, Never-married, Other-service, Own-child, White
25, Private,199545, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White
68, Self-emp-not-inc,197015, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
62, Private,149617, Some-college,10, Widowed, Exec-managerial, Not-in-family, White
26, Private,33610, HS-grad,9, Divorced, Other-service, Other-relative, White
34, Private,192002, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
68, Private,67791, Some-college,10, Widowed, Sales, Not-in-family, White
42, Local-gov,445382, Bachelors,13, Separated, Exec-managerial, Not-in-family, White
45, Private,112283, Bachelors,13, Married-civ-spouse, Sales, Husband, White
26, Private,157249, 11th,7, Never-married, Transport-moving, Not-in-family, White
25, Private,109872, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
23, Private,119838, Bachelors,13, Never-married, Prof-specialty, Own-child, White
29, Private,149943, Some-college,10, Never-married, Other-service, Not-in-family, Other
65, Without-pay,27012, 7th-8th,4, Widowed, Farming-fishing, Unmarried, White
31, Private,91666, HS-grad,9, Never-married, Transport-moving, Not-in-family, White
26, Private,270276, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
39, Private,179271, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
44, Private,161819, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
45, Local-gov,339681, Masters,14, Divorced, Prof-specialty, Unmarried, White
26, Self-emp-not-inc,219897, Masters,14, Never-married, Prof-specialty, Not-in-family, White
26, Private,91683, 10th,6, Married-civ-spouse, Transport-moving, Husband, White
36, Private,188834, 9th,5, Married-civ-spouse, Transport-moving, Husband, White
38, Private,187046, 11th,7, Married-civ-spouse, Craft-repair, Husband, White
39, Private,191807, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White
52, Self-emp-inc,179951, Prof-school,15, Married-civ-spouse, Exec-managerial, Husband, White
39, Private,324420, 1st-4th,2, Married-civ-spouse, Craft-repair, Husband, White
41, Self-emp-not-inc,66632, Some-college,10, Divorced, Craft-repair, Not-in-family, White
42, Local-gov,121718, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
47, Private,162034, Bachelors,13, Married-civ-spouse, Sales, Husband, White
28, Local-gov,218990, Assoc-voc,11, Married-civ-spouse, Protective-serv, Husband, Black
25, Local-gov,125863, Bachelors,13, Never-married, Prof-specialty, Own-child, White
35, Private,225330, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White
32, Private,120426, HS-grad,9, Separated, Adm-clerical, Unmarried, White
38, Private,119741, Masters,14, Married-civ-spouse, Craft-repair, Husband, Black
44, Private,32000, Some-college,10, Married-civ-spouse, Tech-support, Husband, White
21, ?,124242, Some-college,10, Never-married, ?, Own-child, White
27, Private,278581, Bachelors,13, Never-married, Sales, Own-child, White
30, Private,230224, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
30, Private,204374, Bachelors,13, Never-married, Sales, Not-in-family, White
45, Private,188386, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White
20, Private,164922, HS-grad,9, Never-married, Craft-repair, Own-child, White
57, Private,195176, Masters,14, Never-married, Prof-specialty, Not-in-family, White
43, Private,166740, Some-college,10, Divorced, Adm-clerical, Not-in-family, White
50, ?,156008, 11th,7, Married-civ-spouse, ?, Own-child, Black
28, Private,162551, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Other-relative, Asian-Pac-Islander
25, Private,211231, HS-grad,9, Married-civ-spouse, Tech-support, Other-relative, White
25, Private,169990, HS-grad,9, Married-civ-spouse, Sales, Husband, White
90, Private,221832, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
38, Local-gov,255454, Bachelors,13, Separated, Prof-specialty, Unmarried, Black
35, Private,28160, Bachelors,13, Married-spouse-absent, Exec-managerial, Unmarried, White
50, State-gov,159219, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
26, Local-gov,103148, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
39, Private,165186, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White
56, Private,31782, 10th,6, Married-civ-spouse, Sales, Husband, White
24, Local-gov,249101, HS-grad,9, Divorced, Protective-serv, Unmarried, Black
46, Private,243190, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White
18, Local-gov,153405, 11th,7, Never-married, Adm-clerical, Other-relative, White
37, Private,329980, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
57, Private,176079, Masters,14, Divorced, Prof-specialty, Not-in-family, White
43, State-gov,218542, HS-grad,9, Never-married, Adm-clerical, Unmarried, Black
29, State-gov,303446, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
40, Private,102606, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
44, Self-emp-not-inc,483201, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
77, Local-gov,144608, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
30, Private,226013, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Black
21, Private,165475, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
66, Private,263637, 10th,6, Married-civ-spouse, Protective-serv, Husband, White
40, Private,201495, 11th,7, Never-married, Transport-moving, Own-child, White
68, Private,213720, HS-grad,9, Married-civ-spouse, Sales, Husband, White
64, Private,170483, HS-grad,9, Widowed, Other-service, Not-in-family, White
26, Private,214303, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
32, Private,190511, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
32, Private,242150, HS-grad,9, Never-married, Adm-clerical, Own-child, White
51, Local-gov,159755, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
50, Private,147629, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
49, Private,268022, Bachelors,13, Married-civ-spouse, Sales, Husband, White
28, Private,188711, Bachelors,13, Never-married, Transport-moving, Unmarried, White
29, Private,452205, HS-grad,9, Divorced, Other-service, Unmarried, White
21, Private,260847, Some-college,10, Never-married, Sales, Own-child, White
28, Private,291374, HS-grad,9, Never-married, Adm-clerical, Unmarried, Black
55, Private,189933, 10th,6, Married-civ-spouse, Craft-repair, Husband, White
45, Self-emp-not-inc,133969, HS-grad,9, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander
35, Private,330664, Some-college,10, Never-married, Sales, Not-in-family, White
31, ?,672412, 11th,7, Separated, ?, Not-in-family, Black
26, Private,122999, Masters,14, Never-married, Prof-specialty, Not-in-family, White
30, Private,111415, HS-grad,9, Married-civ-spouse, Other-service, Husband, White
33, Private,217235, HS-grad,9, Married-civ-spouse, Sales, Husband, White
40, Private,121956, Bachelors,13, Married-spouse-absent, Prof-specialty, Not-in-family, Asian-Pac-Islander
23, Private,120172, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
35, Private,343403, Some-college,10, Never-married, Sales, Not-in-family, White
48, Self-emp-not-inc,104790, 11th,7, Married-civ-spouse, Farming-fishing, Husband, White
39, Local-gov,473547, 10th,6, Divorced, Handlers-cleaners, Own-child, Black
53, Local-gov,260106, Prof-school,15, Divorced, Prof-specialty, Not-in-family, White
49, Federal-gov,168232, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White
31, Private,348491, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Black
36, Private,24106, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
60, Self-emp-inc,197553, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
29, Private,421065, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White
54, Self-emp-inc,138852, Some-college,10, Married-civ-spouse, Sales, Husband, White
28, ?,169631, Assoc-acdm,12, Married-AF-spouse, ?, Wife, White
34, Private,379412, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
30, Private,181992, Some-college,10, Never-married, Sales, Not-in-family, Black
19, Private,365640, HS-grad,9, Never-married, Priv-house-serv, Not-in-family, White
26, Private,236564, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White
47, Private,363418, Some-college,10, Never-married, Sales, Not-in-family, White
50, Private,112351, HS-grad,9, Divorced, Exec-managerial, Unmarried, White
30, Private,204704, Bachelors,13, Never-married, Exec-managerial, Unmarried, White
44, Private,54611, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, White
49, Private,128132, HS-grad,9, Married-civ-spouse, Sales, Husband, White
75, Self-emp-not-inc,30599, Masters,14, Married-spouse-absent, Prof-specialty, Not-in-family, White
37, Private,379522, Bachelors,13, Married-civ-spouse, Sales, Husband, White
51, State-gov,196504, HS-grad,9, Divorced, Craft-repair, Unmarried, White
35, Private,82552, HS-grad,9, Never-married, Craft-repair, Unmarried, White
28, Private,104024, Some-college,10, Never-married, Sales, Other-relative, White
66, Self-emp-not-inc,293114, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
72, Private,74141, 9th,5, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander
39, Private,192337, Bachelors,13, Separated, Sales, Not-in-family, White
27, Private,262478, HS-grad,9, Never-married, Farming-fishing, Own-child, Black
57, Private,185072, Some-college,10, Never-married, Adm-clerical, Other-relative, Black
24, Private,296045, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White
28, Private,246595, HS-grad,9, Never-married, Craft-repair, Own-child, White
23, Private,54472, Some-college,10, Married-spouse-absent, Other-service, Not-in-family, White
31, Private,331065, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
23, Private,161708, Some-college,10, Never-married, Other-service, Own-child, White
31, Private,264936, Some-college,10, Never-married, Other-service, Not-in-family, White
27, Local-gov,113545, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
30, Private,212237, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
31, Private,170430, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White
34, Private,173806, Masters,14, Never-married, Prof-specialty, Not-in-family, White
57, Federal-gov,370890, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
39, Private,505119, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
23, Private,193089, 11th,7, Never-married, Craft-repair, Own-child, White
24, Local-gov,33432, Assoc-acdm,12, Married-civ-spouse, Other-service, Wife, White
36, Private,103110, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White
32, Private,160362, Some-college,10, Divorced, Other-service, Other-relative, White
35, Private,204621, Assoc-acdm,12, Divorced, Other-service, Own-child, White
36, Private,35309, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
23, ?,154373, Bachelors,13, Never-married, ?, Not-in-family, White
47, Private,194772, Assoc-voc,11, Married-civ-spouse, Machine-op-inspct, Husband, White
35, Private,154410, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White
44, Federal-gov,220563, Some-college,10, Married-civ-spouse, Tech-support, Husband, White
32, State-gov,253354, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
32, Private,211699, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Wife, White
63, Self-emp-not-inc,167501, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, White
34, Private,229732, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White
47, Private,185465, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black
27, Private,335764, 11th,7, Married-civ-spouse, Sales, Own-child, Black
23, Private,460046, HS-grad,9, Separated, Exec-managerial, Unmarried, White
19, ?,33487, Some-college,10, Never-married, ?, Other-relative, Amer-Indian-Eskimo
50, Private,176924, 10th,6, Married-civ-spouse, Craft-repair, Husband, White
49, State-gov,213307, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White
36, Private,83893, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
23, Private,194102, Bachelors,13, Never-married, Exec-managerial, Unmarried, White
61, Private,238611, 7th-8th,4, Widowed, Other-service, Unmarried, Black
41, Private,113597, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White
27, Self-emp-not-inc,208406, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
53, Private,274528, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White
17, Self-emp-not-inc,60116, 10th,6, Never-married, Adm-clerical, Own-child, White
23, ?,196816, HS-grad,9, Never-married, ?, Not-in-family, White
53, Private,166368, Some-college,10, Never-married, Craft-repair, Not-in-family, White
28, Private,303954, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
24, Private,99386, Bachelors,13, Married-spouse-absent, Prof-specialty, Own-child, White
22, Private,188569, Some-college,10, Never-married, Adm-clerical, Not-in-family, White
53, Private,302868, Bachelors,13, Married-civ-spouse, Sales, Husband, White
18, Private,283342, 11th,7, Never-married, Other-service, Other-relative, Black
24, Private,233777, Some-college,10, Never-married, Sales, Unmarried, White
20, Private,170038, HS-grad,9, Never-married, Sales, Not-in-family, White
30, Local-gov,261319, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, White
37, State-gov,367237, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White
34, Private,126838, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
19, Private,354104, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White
20, Private,176321, 12th,8, Never-married, Adm-clerical, Own-child, White
47, Private,85129, HS-grad,9, Divorced, Other-service, Not-in-family, Asian-Pac-Islander
20, ?,376474, Some-college,10, Never-married, ?, Own-child, White
22, Private,62507, Bachelors,13, Never-married, Prof-specialty, Own-child, White
42, Local-gov,111252, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
