31, Private,259931, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White
55, Private,189528, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White
38, Private,34996, Some-college,10, Separated, Other-service, Unmarried, White
33, Private,112584, Some-college,10, Divorced, Sales, Not-in-family, White
25, Private,117589, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, White
19, ?,145234, Some-college,10, Never-married, ?, Own-child, White
37, Private,267086, Assoc-voc,11, Divorced, Tech-support, Unmarried, White
49, Private,44434, Some-college,10, Divorced, Tech-support, Other-relative, White
26, Private,96130, HS-grad,9, Never-married, Craft-repair, Other-relative, White
35, Private,181382, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
44, Self-emp-inc,168845, HS-grad,9, Married-civ-spouse, Sales, Wife, White
37, Private,271767, Masters,14, Separated, Exec-managerial, Not-in-family, White
42, Private,194636, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
64, State-gov,194894, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White
28, Private,132686, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White
35, Self-emp-not-inc,185848, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White
40, State-gov,184378, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White
55, Federal-gov,270859, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
21, Private,231866, HS-grad,9, Never-married, Farming-fishing, Own-child, White
49, Private,36032, Some-college,10, Never-married, Exec-managerial, Not-in-family, Black
51, State-gov,172962, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White
57, Private,98350, Prof-school,15, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander
51, Private,24185, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White
38, Private,53930, 10th,6, Never-married, Craft-repair, Not-in-family, Black
24, Private,85088, HS-grad,9, Never-married, Sales, Own-child, White
45, Self-emp-not-inc,94962, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
28, Private,480861, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
42, Self-emp-inc,187702, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
22, Private,52262, Some-college,10, Never-married, Other-service, Not-in-family, White
28, State-gov,52636, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
60, Private,175273, HS-grad,9, Widowed, Machine-op-inspct, Unmarried, White
31, Private,327825, HS-grad,9, Separated, Machine-op-inspct, Unmarried, White
47, Private,125892, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
40, ?,78255, HS-grad,9, Divorced, ?, Not-in-family, White
30, Private,398827, HS-grad,9, Married-AF-spouse, Adm-clerical, Husband, White
61, Private,208919, Masters,14, Married-civ-spouse, Sales, Husband, White
71, Local-gov,365996, Bachelors,13, Widowed, Prof-specialty, Unmarried, White
42, Private,307638, HS-grad,9, Divorced, Adm-clerical, Own-child, White
44, Local-gov,33068, 12th,8, Married-civ-spouse, Craft-repair, Husband, White
46, Self-emp-not-inc,254291, Some-college,10, Married-civ-spouse, Sales, Husband, White
50, Local-gov,125417, Prof-school,15, Never-married, Exec-managerial, Not-in-family, Black
27, State-gov,28848, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
40, ?,273425, Assoc-voc,11, Married-civ-spouse, ?, Husband, White
21, Private,194723, Some-college,10, Never-married, Adm-clerical, Other-relative, White
25, Private,195118, HS-grad,9, Never-married, Handlers-cleaners, Other-relative, White
61, Private,123273, 5th-6th,3, Divorced, Transport-moving, Not-in-family, White
54, Private,220115, Some-college,10, Divorced, Adm-clerical, Not-in-family, White
31, Private,265706, Bachelors,13, Never-married, Sales, Not-in-family, White
53, Self-emp-not-inc,279129, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White
39, Self-emp-inc,122742, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Husband, White
57, Self-emp-inc,172654, Prof-school,15, Married-civ-spouse, Transport-moving, Husband, White
48, Private,119199, Bachelors,13, Divorced, Sales, Unmarried, White
30, Private,107793, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White
35, Private,237943, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White
42, Self-emp-not-inc,64632, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
34, Self-emp-not-inc,96245, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
59, Private,361494, HS-grad,9, Married-civ-spouse, Sales, Husband, White
69, Local-gov,122850, 10th,6, Married-civ-spouse, Exec-managerial, Husband, White
29, Private,173652, Some-college,10, Never-married, Adm-clerical, Own-child, White
40, Private,164663, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
21, Private,98678, Some-college,10, Never-married, Other-service, Own-child, White
40, Private,245529, Assoc-acdm,12, Divorced, Prof-specialty, Not-in-family, White
43, Private,55294, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
36, Private,140583, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White
41, Private,79797, HS-grad,9, Married-spouse-absent, Prof-specialty, Not-in-family, Asian-Pac-Islander
72, ?,113044, HS-grad,9, Widowed, ?, Not-in-family, White
20, Private,283499, Some-college,10, Never-married, Transport-moving, Own-child, White
41, Local-gov,51111, Bachelors,13, Widowed, Adm-clerical, Not-in-family, White
34, Private,232475, Some-college,10, Divorced, Exec-managerial, Not-in-family, White
48, Private,176140, 11th,7, Divorced, Other-service, Unmarried, Black
27, Private,301654, HS-grad,9, Never-married, Exec-managerial, Own-child, White
35, Private,376455, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
28, ?,192569, HS-grad,9, Never-married, ?, Own-child, Black
27, Private,229803, HS-grad,9, Never-married, Craft-repair, Own-child, Black
20, Private,337639, Some-college,10, Never-married, Sales, Own-child, White
18, Private,130849, Some-college,10, Never-married, Sales, Own-child, White
32, Private,296282, Bachelors,13, Married-civ-spouse, Sales, Husband, White
38, Private,266645, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
23, State-gov,110128, Some-college,10, Never-married, Other-service, Own-child, White
28, Private,90196, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
40, State-gov,40024, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
35, Private,144322, HS-grad,9, Divorced, Machine-op-inspct, Unmarried, White
74, Self-emp-inc,162340, Some-college,10, Widowed, Exec-managerial, Unmarried, White
28, Private,169069, HS-grad,9, Never-married, Craft-repair, Own-child, White
23, Private,113601, Some-college,10, Never-married, Handlers-cleaners, Own-child, White
20, Self-emp-not-inc,157145, Some-college,10, Never-married, Farming-fishing, Own-child, White
44, Private,111275, HS-grad,9, Divorced, Machine-op-inspct, Unmarried, Black
46, Local-gov,102076, HS-grad,9, Divorced, Adm-clerical, Unmarried, White
20, ?,182117, Some-college,10, Never-married, ?, Own-child, White
51, Self-emp-not-inc,145409, Bachelors,13, Married-civ-spouse, Sales, Husband, White
40, Private,190122, Some-college,10, Separated, Adm-clerical, Not-in-family, White
48, Private,331482, Prof-school,15, Married-civ-spouse, Tech-support, Husband, White
60, Self-emp-not-inc,170114, 9th,5, Married-civ-spouse, Farming-fishing, Husband, White
48, Self-emp-inc,193188, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
46, Local-gov,267588, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White
48, Self-emp-inc,200471, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
22, ?,175586, HS-grad,9, Never-married, ?, Unmarried, Black
24, Local-gov,322658, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
45, State-gov,263982, Some-college,10, Divorced, Prof-specialty, Unmarried, White
18, Private,266287, 12th,8, Never-married, Sales, Own-child, White
39, Private,278187, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
65, Self-emp-inc,81413, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
22, Private,221745, Some-college,10, Divorced, Machine-op-inspct, Own-child, White
20, Private,140764, Some-college,10, Never-married, Other-service, Own-child, White
28, Private,206351, Some-college,10, Married-civ-spouse, Sales, Husband, White
46, Private,176814, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
42, Local-gov,245307, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
61, State-gov,124971, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White
28, Private,119545, Some-college,10, Married-civ-spouse, Exec-managerial, Own-child, White
18, Private,179203, Some-college,10, Never-married, Sales, Own-child, White
24, Federal-gov,44075, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander
45, Private,178319, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White
24, Private,219754, HS-grad,9, Never-married, Adm-clerical, Own-child, White
44, Private,198316, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
20, Private,168165, Some-college,10, Never-married, Other-service, Own-child, White
35, Private,356838, Some-college,10, Married-civ-spouse, Tech-support, Husband, White
52, Self-emp-inc,210736, Bachelors,13, Married-civ-spouse, Sales, Husband, White
25, Private,173212, Assoc-acdm,12, Never-married, Farming-fishing, Not-in-family, White
19, Private,130431, 5th-6th,3, Never-married, Farming-fishing, Not-in-family, White
35, ?,169809, Bachelors,13, Married-civ-spouse, ?, Husband, White
54, Private,197481, Some-college,10, Divorced, Adm-clerical, Unmarried, White
21, Private,155066, Some-college,10, Never-married, Craft-repair, Own-child, White
26, Private,31290, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White
42, Private,54102, Assoc-voc,11, Divorced, Adm-clerical, Unmarried, White
19, Private,181546, Some-college,10, Never-married, Adm-clerical, Own-child, White
55, Private,153484, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
44, State-gov,351228, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White
25, Private,131976, Bachelors,13, Never-married, Exec-managerial, Own-child, White
26, Private,200639, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White
64, Federal-gov,267546, Assoc-acdm,12, Separated, Prof-specialty, Not-in-family, White
41, Private,179875, 11th,7, Divorced, Other-service, Unmarried, Other
25, ?,237865, Some-college,10, Never-married, ?, Own-child, Black
43, Private,300528, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White
45, Private,67716, HS-grad,9, Never-married, Craft-repair, Own-child, White
48, Federal-gov,326048, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
60, Private,191188, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
45, Self-emp-not-inc,32172, Some-college,10, Never-married, Farming-fishing, Not-in-family, White
51, Private,252903, 10th,6, Married-civ-spouse, Sales, Husband, White
37, Federal-gov,334314, HS-grad,9, Divorced, Adm-clerical, Unmarried, White
22, Private,83704, Some-college,10, Never-married, Adm-clerical, Own-child, White
44, Private,160574, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
27, Private,203776, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
47, Local-gov,328610, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
32, Private,295589, Masters,14, Married-civ-spouse, Exec-managerial, Husband, Black
40, Private,174373, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
41, Private,247752, HS-grad,9, Married-civ-spouse, Sales, Husband, White
32, ?,199244, 10th,6, Divorced, ?, Not-in-family, White
26, Private,139992, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
47, Private,95680, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander
55, Self-emp-inc,189933, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
38, Private,498785, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White
24, State-gov,177526, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
64, Self-emp-not-inc,150121, Doctorate,16, Married-civ-spouse, Exec-managerial, Husband, White
56, Federal-gov,130454, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
41, Private,119079, HS-grad,9, Married-civ-spouse, Sales, Husband, White
33, Private,220939, HS-grad,9, Married-civ-spouse, Sales, Husband, White
33, Private,94235, Prof-school,15, Never-married, Prof-specialty, Own-child, White
21, Private,305874, Some-college,10, Married-civ-spouse, Other-service, Husband, White
59, Local-gov,62020, HS-grad,9, Widowed, Craft-repair, Not-in-family, Black
58, Private,235624, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White
43, Local-gov,247514, Masters,14, Divorced, Prof-specialty, Unmarried, White
21, Private,275726, HS-grad,9, Never-married, Craft-repair, Own-child, Black
45, Private,72896, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White
53, Local-gov,110510, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White
41, Private,173938, Prof-school,15, Married-civ-spouse, Adm-clerical, Husband, White
27, Private,200641, 10th,6, Married-civ-spouse, Exec-managerial, Wife, White
53, Private,211654, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
38, Private,242720, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
31, Private,111567, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
41, Private,179533, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
22, State-gov,334693, Some-college,10, Never-married, Adm-clerical, Own-child, White
43, Self-emp-not-inc,198096, Masters,14, Married-civ-spouse, Sales, Husband, White
41, State-gov,355756, Some-college,10, Never-married, Prof-specialty, Not-in-family, White
27, Private,19395, Some-college,10, Married-civ-spouse, Handlers-cleaners, Wife, White
41, Local-gov,242586, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
36, Private,208358, Prof-school,15, Divorced, Prof-specialty, Not-in-family, White
49, Private,160647, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, White
20, Private,227943, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White
58, Self-emp-not-inc,197665, HS-grad,9, Married-spouse-absent, Other-service, Unmarried, White
35, Self-emp-not-inc,216129, 12th,8, Never-married, Other-service, Not-in-family, Black
30, Local-gov,326104, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White
21, Private,57211, HS-grad,9, Never-married, Craft-repair, Own-child, White
29, Private,100219, Assoc-acdm,12, Never-married, Machine-op-inspct, Unmarried, White
40, Private,291192, HS-grad,9, Widowed, Sales, Not-in-family, White
54, State-gov,93415, Bachelors,13, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander
35, Private,191502, Bachelors,13, Married-civ-spouse, Sales, Husband, White
35, Private,261382, Bachelors,13, Married-civ-spouse, Sales, Husband, White
40, Private,170230, Bachelors,13, Married-spouse-absent, Other-service, Not-in-family, White
59, Private,374924, HS-grad,9, Separated, Sales, Unmarried, Black
43, Self-emp-inc,320984, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White
39, Private,338320, 10th,6, Married-civ-spouse, Craft-repair, Husband, White
51, Private,135190, 7th-8th,4, Separated, Machine-op-inspct, Not-in-family, Black
71, Private,157909, Some-college,10, Never-married, Other-service, Not-in-family, White
33, Private,637222, 12th,8, Divorced, Machine-op-inspct, Unmarried, Black
28, Private,430084, HS-grad,9, Divorced, Other-service, Own-child, Black
30, Private,125279, HS-grad,9, Married-spouse-absent, Sales, Unmarried, White
20, Private,221955, 5th-6th,3, Married-spouse-absent, Farming-fishing, Other-relative, White
51, Self-emp-inc,180195, HS-grad,9, Married-civ-spouse, Sales, Husband, White
39, Private,208778, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White
62, Private,81534, Some-college,10, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander
37, Private,325538, HS-grad,9, Never-married, Exec-managerial, Own-child, White
28, Private,142264, 9th,5, Never-married, Machine-op-inspct, Not-in-family, White
23, Private,128604, HS-grad,9, Never-married, Sales, Own-child, Asian-Pac-Islander
39, Private,277886, Bachelors,13, Married-civ-spouse, Sales, Wife, White
50, Self-emp-inc,100029, Bachelors,13, Widowed, Sales, Unmarried, White
31, Private,169269, 7th-8th,4, Never-married, Craft-repair, Unmarried, White
