53, Private,209022, 11th,7, Divorced, Other-service, Not-in-family, White
32, Private,96016, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
72, Self-emp-not-inc,52138, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White
61, Private,159046, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, White
42, Private,138634, HS-grad,9, Married-civ-spouse, Sales, Husband, White
17, Private,130125, 10th,6, Never-married, Other-service, Own-child, Amer-Indian-Eskimo
73, Private,247355, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
41, Self-emp-not-inc,227065, Some-college,10, Separated, Craft-repair, Not-in-family, White
23, Private,244771, Some-college,10, Never-married, Machine-op-inspct, Own-child, Black
23, Private,215616, HS-grad,9, Never-married, Prof-specialty, Not-in-family, White
65, Private,386672, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Husband, White
45, Self-emp-inc,177543, HS-grad,9, Married-civ-spouse, Sales, Wife, White
52, Federal-gov,617021, Bachelors,13, Married-civ-spouse, Tech-support, Husband, Black
24, Local-gov,117109, Bachelors,13, Never-married, Adm-clerical, Own-child, Black
23, Private,373550, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White
30, Private,19847, Some-college,10, Divorced, Tech-support, Own-child, White
26, Private,189590, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
37, Self-emp-not-inc,58343, HS-grad,9, Divorced, Farming-fishing, Unmarried, White
17, Private,354201, HS-grad,9, Never-married, Other-service, Own-child, White
31, Private,119422, HS-grad,9, Married-civ-spouse, Sales, Husband, White
52, Private,363405, HS-grad,9, Separated, Adm-clerical, Other-relative, White
63, Private,181863, Bachelors,13, Never-married, Sales, Not-in-family, White
27, Private,194472, HS-grad,9, Never-married, Priv-house-serv, Not-in-family, White
31, Private,247328, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White
71, Self-emp-not-inc,130731, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White
35, Private,236910, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
44, Private,378251, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White
36, Private,120760, Masters,14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander
22, Private,203182, Bachelors,13, Never-married, Exec-managerial, Other-relative, White
32, Private,130304, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White
30, Local-gov,352542, Bachelors,13, Divorced, Prof-specialty, Unmarried, White
60, ?,191024, HS-grad,9, Married-civ-spouse, ?, Husband, White
25, Private,197728, Some-college,10, Never-married, Adm-clerical, Own-child, White
76, Private,316185, 7th-8th,4, Widowed, Protective-serv, Not-in-family, White
41, Private,89226, HS-grad,9, Divorced, Craft-repair, Not-in-family, White
26, Private,292353, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, Other
45, Private,304570, 12th,8, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander
32, Private,180296, Some-college,10, Divorced, Adm-clerical, Unmarried, White
22, Private,361487, HS-grad,9, Never-married, Craft-repair, Not-in-family, White
39, Private,218490, Bachelors,13, Married-civ-spouse, Sales, Husband, White
63, Self-emp-not-inc,231777, Bachelors,13, Never-married, Transport-moving, Not-in-family, White
23, Private,189832, Assoc-acdm,12, Never-married, Transport-moving, Unmarried, White
61, Private,232308, 10th,6, Married-civ-spouse, Machine-op-inspct, Husband, White
31, State-gov,33308, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White
25, Private,333677, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White
33, Private,170651, HS-grad,9, Never-married, Other-service, Own-child, White
39, Private,343403, HS-grad,9, Married-civ-spouse, Sales, Wife, White
53, Private,166386, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Wife, Asian-Pac-Islander
26, Federal-gov,48099, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
21, Private,143062, Some-college,10, Never-married, Other-service, Own-child, White
18, Private,104704, HS-grad,9, Never-married, Adm-clerical, Own-child, Black
34, Private,30497, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
44, State-gov,174325, Masters,14, Married-civ-spouse, Prof-specialty, Husband, Black
31, Private,286675, HS-grad,9, Divorced, Craft-repair, Own-child, White
44, Private,59474, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
42, Private,378384, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
43, Private,245842, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
33, Private,274222, Bachelors,13, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander
21, Private,342575, Some-college,10, Never-married, Sales, Own-child, Black
30, Private,206051, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White
55, Private,234213, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
