35, ?,296738, 11th,7, Separated, ?, Not-in-family, White
40, Private,118001, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, Black
49, Private,149337, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
29, Private,36601, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
43, Local-gov,118600, Bachelors,13, Divorced, Prof-specialty, Unmarried, White
39, Private,279272, Assoc-acdm,12, Never-married, Transport-moving, Not-in-family, Black
35, Private,181020, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White
52, Private,165998, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White
25, Private,218136, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, Black
20, Self-emp-inc,182200, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White
46, Private,39363, Some-college,10, Divorced, Other-service, Unmarried, White
24, Private,140001, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
29, Private,193260, Bachelors,13, Married-civ-spouse, Craft-repair, Other-relative, Asian-Pac-Islander
21, Private,191243, Some-college,10, Never-married, Other-service, Own-child, White
37, Federal-gov,207887, Bachelors,13, Divorced, Exec-managerial, Other-relative, White
43, Federal-gov,211450, HS-grad,9, Never-married, Adm-clerical, Own-child, White
19, Private,184759, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
47, Private,197836, HS-grad,9, Married-civ-spouse, Sales, Husband, White
61, Private,232308, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
21, ?,189888, Assoc-acdm,12, Never-married, ?, Not-in-family, White
35, Private,301614, HS-grad,9, Married-civ-spouse, Other-service, Husband, White
60, Private,146674, 10th,6, Married-civ-spouse, Handlers-cleaners, Husband, Black
27, Private,225291, Some-college,10, Never-married, Adm-clerical, Not-in-family, White
57, Local-gov,148509, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander
56, Private,136413, 1st-4th,2, Married-civ-spouse, Craft-repair, Husband, White
27, Private,126060, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White
47, Private,73064, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Wife, Black
19, Private,39026, HS-grad,9, Never-married, Other-service, Not-in-family, White
28, Self-emp-not-inc,33035, 12th,8, Divorced, Other-service, Unmarried, White
43, Private,193494, 10th,6, Married-civ-spouse, Adm-clerical, Husband, White
63, Local-gov,147440, Some-college,10, Divorced, Exec-managerial, Not-in-family, White
22, ?,153131, Some-college,10, Never-married, ?, Own-child, White
25, Private,64671, HS-grad,9, Divorced, Handlers-cleaners, Own-child, Asian-Pac-Islander
35, Self-emp-not-inc,225399, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White
20, Private,174391, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White
48, Private,377757, 10th,6, Married-civ-spouse, Sales, Husband, White
30, Local-gov,364310, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Black
31, Private,110643, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
20, Private,70240, HS-grad,9, Never-married, Sales, Own-child, Asian-Pac-Islander
57, State-gov,32694, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
41, Private,95047, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, White
33, Private,264936, HS-grad,9, Divorced, Adm-clerical, Other-relative, White
27, Private,367329, Assoc-voc,11, Married-civ-spouse, Farming-fishing, Husband, White
34, Private,56026, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
22, Private,186452, 10th,6, Never-married, Craft-repair, Not-in-family, White
50, Private,125417, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Wife, Black
40, Self-emp-not-inc,242082, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
37, Private,31023, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
40, ?,397346, Assoc-acdm,12, Divorced, ?, Not-in-family, White
53, Private,424079, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
38, Self-emp-not-inc,108947, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White
