77, Self-emp-not-inc,209507, Some-college,10, Never-married, Craft-repair, Not-in-family, White
30, Self-emp-not-inc,229741, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
33, Private,324546, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White
51, Private,337195, Some-college,10, Married-civ-spouse, Sales, Husband, White
58, State-gov,194068, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
22, Private,250647, Some-college,10, Never-married, Adm-clerical, Own-child, White
33, Private,477106, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black
27, Private,104329, 11th,7, Married-civ-spouse, Sales, Husband, White
35, Private,224566, Some-college,10, Never-married, Exec-managerial, Not-in-family, White
32, Private,169841, Some-college,10, Divorced, Sales, Not-in-family, White
41, Private,42563, Bachelors,13, Married-civ-spouse, Tech-support, Wife, White
37, Private,31368, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
17, Private,132755, 11th,7, Never-married, Sales, Own-child, White
50, Private,279129, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White
31, ?,86143, HS-grad,9, Married-civ-spouse, ?, Husband, Asian-Pac-Islander
54, State-gov,44172, HS-grad,9, Separated, Exec-managerial, Unmarried, White
23, State-gov,93076, HS-grad,9, Never-married, Other-service, Own-child, Black
40, Private,146653, Bachelors,13, Divorced, Adm-clerical, Unmarried, White
29, Private,221366, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
38, Private,189404, HS-grad,9, Married-spouse-absent, Other-service, Not-in-family, White
30, Private,172304, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White
20, Private,116666, Some-college,10, Never-married, Sales, Own-child, Asian-Pac-Islander
43, Self-emp-not-inc,64112, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White
25, Private,55718, Some-college,10, Never-married, Tech-support, Own-child, White
39, Private,126675, Masters,14, Married-civ-spouse, Sales, Husband, White
48, Private,102112, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White
41, Self-emp-not-inc,226505, HS-grad,9, Divorced, Other-service, Unmarried, White
24, Private,211527, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White
20, Private,175069, Some-college,10, Never-married, Adm-clerical, Own-child, White
25, Private,25249, Some-college,10, Never-married, Adm-clerical, Not-in-family, White
57, Private,73411, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
39, Private,207185, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White
