48, Private,138970, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
39, Private,269722, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
34, Private,223678, HS-grad,9, Never-married, Other-service, Unmarried, Amer-Indian-Eskimo
54, State-gov,197184, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
36, Private,143486, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
60, Private,160625, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White
50, Private,140516, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White
48, Local-gov,85341, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
35, Private,108293, Some-college,10, Never-married, Adm-clerical, Own-child, White
40, Self-emp-not-inc,192507, Assoc-acdm,12, Divorced, Prof-specialty, Not-in-family, White
30, Private,186932, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
65, Self-emp-not-inc,223580, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White
31, Private,236861, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
46, Local-gov,327886, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White
67, ?,407618, 9th,5, Divorced, ?, Not-in-family, White
62, Self-emp-inc,197060, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White
38, Private,229180, Bachelors,13, Never-married, Exec-managerial, Unmarried, White
24, Private,284317, Bachelors,13, Never-married, Other-service, Own-child, White
24, Private,73514, Some-college,10, Never-married, Sales, Not-in-family, Asian-Pac-Islander
27, Private,47907, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
43, State-gov,134782, Assoc-acdm,12, Married-spouse-absent, Other-service, Unmarried, White
48, Private,118831, HS-grad,9, Divorced, Handlers-cleaners, Unmarried, Asian-Pac-Islander
41, Private,299505, HS-grad,9, Separated, Craft-repair, Not-in-family, Black
30, Private,267161, Some-college,10, Married-civ-spouse, Tech-support, Wife, Black
38, Private,119177, Bachelors,13, Married-civ-spouse, Sales, Husband, White
45, Private,327886, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White
45, Private,187730, Bachelors,13, Never-married, Prof-specialty, Own-child, White
55, Private,109015, Some-college,10, Divorced, Adm-clerical, Not-in-family, White
46, Self-emp-not-inc,110015, 7th-8th,4, Married-civ-spouse, Exec-managerial, Husband, White
24, Private,104146, Bachelors,13, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander
31, Local-gov,50442, Some-college,10, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo
35, Private,57640, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
37, Local-gov,333664, Some-college,10, Separated, Adm-clerical, Not-in-family, White
29, Private,224858, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White
56, Private,290641, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
60, ?,191118, HS-grad,9, Married-civ-spouse, ?, Husband, White
25, Private,34402, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
33, Private,245378, 10th,6, Married-civ-spouse, Machine-op-inspct, Husband, White
44, Private,179136, HS-grad,9, Never-married, Sales, Not-in-family, White
21, Private,116788, HS-grad,9, Never-married, Craft-repair, Own-child, White
21, Private,129699, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
46, Federal-gov,39606, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
