26, Private,164488, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
48, Private,200471, Bachelors,13, Married-civ-spouse, Transport-moving, Husband, White
69, Private,228921, Bachelors,13, Widowed, Prof-specialty, Not-in-family, White
41, Private,184846, Some-college,10, Divorced, Adm-clerical, Unmarried, White
43, Private,233851, Bachelors,13, Divorced, Adm-clerical, Not-in-family, White
28, Private,499001, HS-grad,9, Never-married, Craft-repair, Unmarried, White
65, Local-gov,125768, Some-college,10, Divorced, Adm-clerical, Not-in-family, White
31, Private,255004, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
28, Private,157624, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White
51, Private,146767, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
45, Private,118291, Some-college,10, Never-married, Craft-repair, Not-in-family, White
43, Private,313181, HS-grad,9, Divorced, Adm-clerical, Other-relative, Black
31, Private,87891, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, White
31, Private,226443, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
45, Private,81132, Some-college,10, Married-civ-spouse, Craft-repair, Other-relative, Asian-Pac-Islander
20, Private,216436, Bachelors,13, Never-married, Sales, Other-relative, Black
25, Private,213412, Bachelors,13, Never-married, Tech-support, Unmarried, White
36, Private,179358, HS-grad,9, Widowed, Handlers-cleaners, Unmarried, White
31, Private,369825, Bachelors,13, Never-married, Sales, Not-in-family, White
56, Private,199763, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
26, Private,239390, Bachelors,13, Never-married, Sales, Own-child, White
47, Self-emp-not-inc,173613, Some-college,10, Divorced, Exec-managerial, Not-in-family, White
40, Self-emp-inc,37869, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
32, Private,302845, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White
34, State-gov,85218, Masters,14, Never-married, Prof-specialty, Unmarried, Black
37, Private,48268, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
38, Private,173968, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
19, Private,70982, Assoc-voc,11, Never-married, Other-service, Own-child, Asian-Pac-Islander
49, Private,166857, 9th,5, Divorced, Handlers-cleaners, Not-in-family, White
18, ?,256191, HS-grad,9, Never-married, ?, Own-child, Black
26, Private,162872, Assoc-acdm,12, Never-married, Prof-specialty, Not-in-family, White
82, Private,152148, 7th-8th,4, Married-civ-spouse, Handlers-cleaners, Husband, White
40, Private,139193, HS-grad,9, Divorced, Craft-repair, Not-in-family, White
28, Private,791084, Some-college,10, Never-married, Craft-repair, Own-child, White
23, Private,137214, HS-grad,9, Married-civ-spouse, Sales, Husband, Black
19, Private,183258, Some-college,10, Never-married, Adm-clerical, Own-child, White
67, Private,154035, HS-grad,9, Widowed, Handlers-cleaners, Other-relative, Black
43, Private,115323, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
41, Private,213055, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, Other
37, Private,155064, Assoc-voc,11, Divorced, Prof-specialty, Unmarried, White
20, Private,33551, HS-grad,9, Never-married, Transport-moving, Own-child, White
40, Private,169995, HS-grad,9, Divorced, Craft-repair, Unmarried, White
47, Private,168262, Masters,14, Separated, Exec-managerial, Not-in-family, White
40, Private,104196, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White
39, State-gov,114055, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
24, Private,274398, Some-college,10, Never-married, Adm-clerical, Own-child, Black
78, ?,27979, HS-grad,9, Married-civ-spouse, ?, Husband, White
67, ?,244122, Assoc-voc,11, Widowed, ?, Not-in-family, White
49, Private,196571, Bachelors,13, Married-civ-spouse, Sales, Husband, White
66, Private,101607, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White
52, Private,122109, HS-grad,9, Never-married, Prof-specialty, Unmarried, White
59, Self-emp-inc,255822, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White
72, Private,195184, HS-grad,9, Widowed, Priv-house-serv, Unmarried, White
35, Federal-gov,245372, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
30, Private,169583, Bachelors,13, Married-AF-spouse, Exec-managerial, Wife, White
36, Private,224531, Some-college,10, Never-married, Other-service, Not-in-family, White
26, Private,186151, HS-grad,9, Separated, Tech-support, Own-child, White
23, Private,118693, Bachelors,13, Never-married, Other-service, Not-in-family, White
39, Private,297449, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
40, Self-emp-not-inc,125206, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
29, Private,393264, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
38, Private,108140, Bachelors,13, Never-married, Other-service, Not-in-family, White
63, Private,264968, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White
58, Self-emp-not-inc,318106, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
30, Private,156025, HS-grad,9, Divorced, Exec-managerial, Unmarried, White
38, State-gov,149455, HS-grad,9, Never-married, Other-service, Unmarried, Black
25, Private,359985, 5th-6th,3, Never-married, Adm-clerical, Not-in-family, White
44, State-gov,165108, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
43, Private,115178, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, White
21, Private,149224, Some-college,10, Never-married, Transport-moving, Own-child, White
