40, State-gov,34218, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
19, Local-gov,292962, HS-grad,9, Never-married, Craft-repair, Other-relative, Black
45, Private,235924, Bachelors,13, Divorced, Exec-managerial, Own-child, White
34, Private,98656, Some-college,10, Never-married, Prof-specialty, Not-in-family, White
70, Private,102610, Some-college,10, Divorced, Other-service, Not-in-family, White
32, Local-gov,296466, Masters,14, Never-married, Prof-specialty, Not-in-family, White
33, Private,323069, Assoc-voc,11, Divorced, Other-service, Unmarried, White
24, Private,184756, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
30, Local-gov,233993, Bachelors,13, Never-married, Prof-specialty, Own-child, White
22, Private,130724, Some-college,10, Never-married, Sales, Own-child, Black
52, Self-emp-inc,181855, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, Other
67, Self-emp-not-inc,127543, 10th,6, Married-civ-spouse, Farming-fishing, Husband, White
40, Private,187164, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
55, Private,113912, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Wife, White
29, Private,216479, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White
62, Private,135480, HS-grad,9, Married-civ-spouse, Sales, Husband, White
22, Private,204160, HS-grad,9, Divorced, Machine-op-inspct, Own-child, White
64, State-gov,114650, 9th,5, Married-civ-spouse, Craft-repair, Husband, White
29, Self-emp-not-inc,240172, Bachelors,13, Never-married, Exec-managerial, Other-relative, White
28, Private,184831, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
25, Private,124590, HS-grad,9, Never-married, Exec-managerial, Other-relative, White
47, State-gov,120429, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White
26, Private,202033, Bachelors,13, Married-civ-spouse, Transport-moving, Husband, White
18, Private,156874, 12th,8, Never-married, Other-service, Own-child, White
52, Self-emp-inc,177727, 10th,6, Married-civ-spouse, Sales, Husband, White
48, Local-gov,334409, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White
36, Private,311255, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Black
23, Private,214227, Assoc-voc,11, Divorced, Adm-clerical, Not-in-family, White
41, Private,115849, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
56, State-gov,671292, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
53, Private,31460, HS-grad,9, Divorced, Prof-specialty, Not-in-family, White
26, Private,141824, Some-college,10, Divorced, Exec-managerial, Not-in-family, White
22, Private,310152, Some-college,10, Never-married, Other-service, Not-in-family, White
25, Private,179953, Masters,14, Never-married, Prof-specialty, Own-child, White
31, Private,137952, Some-college,10, Married-civ-spouse, Other-service, Husband, Other
36, Private,103323, Assoc-acdm,12, Married-civ-spouse, Machine-op-inspct, Husband, White
46, Private,174426, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White
46, State-gov,192779, Assoc-acdm,12, Divorced, Adm-clerical, Unmarried, White
32, Private,169955, Some-college,10, Married-civ-spouse, Other-service, Wife, White
43, Self-emp-not-inc,48087, HS-grad,9, Never-married, Farming-fishing, Not-in-family, White
30, Private,132601, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
41, Self-emp-inc,253060, Bachelors,13, Married-civ-spouse, Sales, Husband, White
50, Private,108435, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
37, State-gov,210452, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
22, Local-gov,134181, HS-grad,9, Never-married, Handlers-cleaners, Other-relative, White
51, Federal-gov,45487, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
47, Private,183522, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Black
40, Private,199303, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White
46, Private,83064, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White
23, ?,134997, Some-college,10, Separated, ?, Unmarried, White
30, Private,44419, Some-college,10, Never-married, Tech-support, Unmarried, White
27, Self-emp-not-inc,442612, HS-grad,9, Married-civ-spouse, Sales, Husband, White
31, Local-gov,158092, Some-college,10, Never-married, Adm-clerical, Own-child, White
31, Private,374833, 1st-4th,2, Married-civ-spouse, Handlers-cleaners, Husband, White
30, Private,112650, HS-grad,9, Divorced, Craft-repair, Own-child, White
