58, Self-emp-not-inc,266707, 1st-4th,2, Married-civ-spouse, Transport-moving, Husband, White
51, Self-emp-not-inc,311569, HS-grad,9, Divorced, Sales, Not-in-family, White
25, Private,187653, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White
38, Private,235379, Assoc-acdm,12, Never-married, Prof-specialty, Unmarried, White
41, Private,188615, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
58, Private,322691, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Husband, White
25, Private,184698, 10th,6, Never-married, Machine-op-inspct, Not-in-family, White
50, Private,144361, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
32, Private,130057, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
31, Self-emp-inc,117963, Doctorate,16, Never-married, Prof-specialty, Own-child, White
22, Private,123876, Some-college,10, Never-married, Other-service, Own-child, White
37, Private,248445, HS-grad,9, Divorced, Handlers-cleaners, Other-relative, White
32, Private,207172, Some-college,10, Never-married, Sales, Other-relative, White
46, State-gov,119904, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White
62, Private,134768, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
40, Local-gov,269168, HS-grad,9, Married-civ-spouse, Other-service, Husband, Other
56, Private,132026, Bachelors,13, Married-civ-spouse, Sales, Husband, Black
37, Private,60722, Some-college,10, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander
41, Private,648223, 1st-4th,2, Married-spouse-absent, Farming-fishing, Unmarried, White
56, Private,298695, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White
20, Private,219835, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White
34, Self-emp-not-inc,313729, Bachelors,13, Married-civ-spouse, Sales, Husband, White
45, Private,140644, HS-grad,9, Married-civ-spouse, Sales, Husband, White
30, Private,203488, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White
51, Self-emp-not-inc,132341, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
27, Private,161683, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White
38, Private,312771, Assoc-voc,11, Married-civ-spouse, Sales, Husband, White
39, Private,258102, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White
57, ?,24127, Bachelors,13, Married-civ-spouse, ?, Husband, White
47, Private,254367, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
77, ?,185426, HS-grad,9, Married-civ-spouse, ?, Husband, White
43, Private,152629, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
46, Local-gov,141058, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
41, Private,233130, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
20, Private,406641, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
30, State-gov,119422, 10th,6, Married-civ-spouse, Adm-clerical, Husband, White
30, Private,255486, HS-grad,9, Married-civ-spouse, Other-service, Husband, Black
22, Private,161532, Some-college,10, Never-married, Handlers-cleaners, Own-child, White
25, Private,75759, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
18, Private,163332, HS-grad,9, Never-married, Sales, Own-child, White
28, Private,103802, Bachelors,13, Never-married, Exec-managerial, Own-child, White
50, Private,34832, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White
28, Private,37933, HS-grad,9, Never-married, Other-service, Not-in-family, Black
21, Private,165107, Some-college,10, Never-married, Priv-house-serv, Own-child, White
37, Private,126011, Assoc-voc,11, Divorced, Tech-support, Own-child, White
28, Federal-gov,56651, Bachelors,13, Never-married, Prof-specialty, Own-child, Black
23, Private,522881, 5th-6th,3, Married-civ-spouse, Other-service, Husband, White
32, Private,191777, Assoc-voc,11, Never-married, Exec-managerial, Not-in-family, Black
27, Private,132686, 12th,8, Never-married, Machine-op-inspct, Own-child, White
55, Private,201112, HS-grad,9, Divorced, Prof-specialty, Unmarried, Black
44, Private,174283, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
25, Private,208591, Bachelors,13, Never-married, Prof-specialty, Own-child, White
29, Private,126399, HS-grad,9, Divorced, Sales, Unmarried, White
50, Private,142073, HS-grad,9, Married-spouse-absent, Exec-managerial, Not-in-family, White
18, Private,395567, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White
74, Private,180455, Bachelors,13, Widowed, Other-service, Not-in-family, White
22, Private,235853, 9th,5, Never-married, Sales, Not-in-family, White
27, Private,160731, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
27, State-gov,31935, Some-college,10, Never-married, Tech-support, Own-child, White
41, Private,35166, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
24, Private,161092, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White
23, Private,223019, HS-grad,9, Never-married, Adm-clerical, Own-child, White
34, Self-emp-not-inc,179673, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
46, State-gov,248895, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
32, Private,200323, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White
41, Private,230020, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Other
29, Private,134890, Assoc-voc,11, Married-civ-spouse, Farming-fishing, Husband, White
48, Private,162096, 9th,5, Married-civ-spouse, Machine-op-inspct, Other-relative, Asian-Pac-Islander
51, Private,103824, HS-grad,9, Never-married, Other-service, Not-in-family, Black
34, State-gov,61431, 12th,8, Never-married, Adm-clerical, Not-in-family, Black
58, Private,197319, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
52, Private,183618, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White
37, Self-emp-not-inc,268598, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Other
53, Private,263729, Some-college,10, Separated, Adm-clerical, Not-in-family, White
54, Private,39493, Assoc-voc,11, Married-civ-spouse, Transport-moving, Husband, White
36, Private,185360, HS-grad,9, Married-civ-spouse, Sales, Husband, White
25, Private,132661, Assoc-voc,11, Never-married, Adm-clerical, Own-child, White
20, Private,266400, Some-college,10, Never-married, Prof-specialty, Own-child, White
23, Private,433669, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, White
39, Self-emp-inc,216473, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
20, Self-emp-not-inc,217404, 10th,6, Never-married, Machine-op-inspct, Own-child, White
28, Private,227778, Assoc-voc,11, Never-married, Other-service, Other-relative, Black
73, State-gov,96262, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White
67, Private,247566, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White
56, Private,139616, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White
32, Private,73585, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White
42, Private,37869, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, White
33, Private,165814, HS-grad,9, Married-civ-spouse, Other-service, Husband, Black
37, Private,108913, HS-grad,9, Never-married, Other-service, Not-in-family, White
33, Private,34975, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
31, Private,157078, 10th,6, Never-married, Adm-clerical, Unmarried, White
59, Private,232672, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
21, Private,294295, HS-grad,9, Never-married, Adm-clerical, Unmarried, White
58, Self-emp-inc,130454, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
24, Local-gov,461678, 10th,6, Never-married, Other-service, Not-in-family, White
